name,realm_slug,rank,class_id,class_name,level,_source,_ingested_at,_file_path
Serthorn,wildhammer,9,1,,80,blizzard,2026-04-12T21:05:35.003119+00:00,/Volumes/04_sdp/warcraftlogs/landing/guild_members/20260412T210535Z.jsonl
Roux,turalyon,9,4,,90,blizzard,2026-04-12T21:05:35.003119+00:00,/Volumes/04_sdp/warcraftlogs/landing/guild_members/20260412T210535Z.jsonl
Waka,turalyon,9,7,,90,blizzard,2026-04-12T21:05:35.003119+00:00,/Volumes/04_sdp/warcraftlogs/landing/guild_members/20260412T210535Z.jsonl
Maawong,draenor,9,3,,80,blizzard,2026-04-12T21:05:35.003119+00:00,/Volumes/04_sdp/warcraftlogs/landing/guild_members/20260412T210535Z.jsonl
Spaghettioz,ravencrest,9,12,,50,blizzard,2026-04-12T21:05:35.003119+00:00,/Volumes/04_sdp/warcraftlogs/landing/guild_members/20260412T210535Z.jsonl
Nomagé,twisting-nether,9,8,,70,blizzard,2026-04-12T21:05:35.003119+00:00,/Volumes/04_sdp/warcraftlogs/landing/guild_members/20260412T210535Z.jsonl
Smileplox,twisting-nether,9,9,,54,blizzard,2026-04-12T21:05:35.003119+00:00,/Volumes/04_sdp/warcraftlogs/landing/guild_members/20260412T210535Z.jsonl
Retball,twisting-nether,9,2,,70,blizzard,2026-04-12T21:05:35.003119+00:00,/Volumes/04_sdp/warcraftlogs/landing/guild_members/20260412T210535Z.jsonl
Skurp,twisting-nether,9,7,,66,blizzard,2026-04-12T21:05:35.003119+00:00,/Volumes/04_sdp/warcraftlogs/landing/guild_members/20260412T210535Z.jsonl
Astriks,twisting-nether,9,8,,90,blizzard,2026-04-12T21:05:35.003119+00:00,/Volumes/04_sdp/warcraftlogs/landing/guild_members/20260412T210535Z.jsonl
Graviity,twisting-nether,9,4,,90,blizzard,2026-04-12T21:05:35.003119+00:00,/Volumes/04_sdp/warcraftlogs/landing/guild_members/20260412T210535Z.jsonl
Selthiel,ravencrest,8,5,,90,blizzard,2026-04-12T21:05:35.003119+00:00,/Volumes/04_sdp/warcraftlogs/landing/guild_members/20260412T210535Z.jsonl
Aideen,twisting-nether,6,9,,80,blizzard,2026-04-12T21:05:35.003119+00:00,/Volumes/04_sdp/warcraftlogs/landing/guild_members/20260412T210535Z.jsonl
Alzaria,twisting-nether,9,5,,80,blizzard,2026-04-12T21:05:35.003119+00:00,/Volumes/04_sdp/warcraftlogs/landing/guild_members/20260412T210535Z.jsonl
