code,title,startTime,endTime,zone,_source,_ingested_at,_file_path
yAkGZ84XCjHdJP6f,2023-01-25 hc,1674673716528,1674675579490,"{'id': 31.0, 'name': 'Vault of the Incarnates'}",wcl,2026-04-12T19:32:52.152023+00:00,/Volumes/04_sdp/warcraftlogs/landing/guild_reports/20260412T193252Z_p13.jsonl
TtcAF27afmrwCqJL,2023-01-23 sennarth,1674499883433,1674511383747,"{'id': 31.0, 'name': 'Vault of the Incarnates'}",wcl,2026-04-12T19:32:52.152023+00:00,/Volumes/04_sdp/warcraftlogs/landing/guild_reports/20260412T193252Z_p13.jsonl
c2xQq6r8CKzGt1VT,Alt Heroic,1674415669033,1674423161341,"{'id': 31.0, 'name': 'Vault of the Incarnates'}",wcl,2026-04-12T19:32:52.152023+00:00,/Volumes/04_sdp/warcraftlogs/landing/guild_reports/20260412T193252Z_p13.jsonl
DZgdAH4cLTRw1PYm,2023-01-18,1674068015331,1674078045859,"{'id': 31.0, 'name': 'Vault of the Incarnates'}",wcl,2026-04-12T19:32:52.152023+00:00,/Volumes/04_sdp/warcraftlogs/landing/guild_reports/20260412T193252Z_p13.jsonl
3JZjK7xVzDLnPWTq,2023-01-16,1673896971075,1673905934852,"{'id': 31.0, 'name': 'Vault of the Incarnates'}",wcl,2026-04-12T19:32:52.152023+00:00,/Volumes/04_sdp/warcraftlogs/landing/guild_reports/20260412T193252Z_p13.jsonl
r1t4H6AzXWYNvFPb,2023-01-11,1673463185776,1673474777409,"{'id': 31.0, 'name': 'Vault of the Incarnates'}",wcl,2026-04-12T19:32:52.152023+00:00,/Volumes/04_sdp/warcraftlogs/landing/guild_reports/20260412T193252Z_p13.jsonl
FbcWdQ47krt2ahzH,2023-01-09,1673291001051,1673301592881,"{'id': 31.0, 'name': 'Vault of the Incarnates'}",wcl,2026-04-12T19:32:52.152023+00:00,/Volumes/04_sdp/warcraftlogs/landing/guild_reports/20260412T193252Z_p13.jsonl
CJ8ndxajtLfvXT7Y,2023-01-04,1672858738834,1672870177201,"{'id': 31.0, 'name': 'Vault of the Incarnates'}",wcl,2026-04-12T19:32:52.152023+00:00,/Volumes/04_sdp/warcraftlogs/landing/guild_reports/20260412T193252Z_p13.jsonl
A4tyVqTKzjZ6GFWY,2023-01-02,1672685822735,1672697179745,"{'id': 31.0, 'name': 'Vault of the Incarnates'}",wcl,2026-04-12T19:32:52.152023+00:00,/Volumes/04_sdp/warcraftlogs/landing/guild_reports/20260412T193252Z_p13.jsonl
cxfTpRmZBnyV9ah1,normal social run,1672602031777,1672607139271,"{'id': 31.0, 'name': 'Vault of the Incarnates'}",wcl,2026-04-12T19:32:52.152023+00:00,/Volumes/04_sdp/warcraftlogs/landing/guild_reports/20260412T193252Z_p13.jsonl
VP7dv3LMnRCwbHTq,normal social run,1672600736177,1672601625453,"{'id': 31.0, 'name': 'Vault of the Incarnates'}",wcl,2026-04-12T19:32:52.152023+00:00,/Volumes/04_sdp/warcraftlogs/landing/guild_reports/20260412T193252Z_p13.jsonl
zV9vRLn2NYZQjaKf,NM Raid,1672601410141,1672601410141,,wcl,2026-04-12T19:32:52.152023+00:00,/Volumes/04_sdp/warcraftlogs/landing/guild_reports/20260412T193252Z_p13.jsonl
W1JcVnmY3jNfXMT2,2022-12-28 hc reclear,1672253837065,1672265066808,"{'id': 31.0, 'name': 'Vault of the Incarnates'}",wcl,2026-04-12T19:32:52.152023+00:00,/Volumes/04_sdp/warcraftlogs/landing/guild_reports/20260412T193252Z_p13.jsonl
CXVar4KL8Jf2xHt3,2022-12-26 dathea hc,1672080650886,1672092053383,"{'id': 31.0, 'name': 'Vault of the Incarnates'}",wcl,2026-04-12T19:32:52.152023+00:00,/Volumes/04_sdp/warcraftlogs/landing/guild_reports/20260412T193252Z_p13.jsonl
JNY1P9hgqwxLWby4,2022-12-21 reclear,1671648880025,1671659821912,"{'id': 31.0, 'name': 'Vault of the Incarnates'}",wcl,2026-04-12T19:32:52.152023+00:00,/Volumes/04_sdp/warcraftlogs/landing/guild_reports/20260412T193252Z_p13.jsonl
nygAQKkaVYH8CPmc,2022-12-19 Raszageth,1671476177635,1671488048811,"{'id': 31.0, 'name': 'Vault of the Incarnates'}",wcl,2026-04-12T19:32:52.152023+00:00,/Volumes/04_sdp/warcraftlogs/landing/guild_reports/20260412T193252Z_p13.jsonl
