name,realm_slug,rank,rank_label,rank_category,is_raid_team,class_id,class_name,level,total_raids_tracked,raids_present,attendance_rate_pct,last_raid_date,first_raid_date,is_active,possible_main,_ingested_at
Beckiebtec,twisting-nether,9,Social,Social,False,10,Monk,70,0,0,0.0,,,False,Beckiebtec,2026-04-13T18:23:06.895262+00:00
Biglade,twisting-nether,9,Social,Social,False,1,Warrior,80,2,2,100.0,2025-07-30,2025-07-30,True,Biglade,2026-04-13T18:23:06.895262+00:00
Wetwarrior,twisting-nether,9,Social,Social,False,1,Warrior,62,0,0,0.0,,,False,Wetwarrior,2026-04-13T18:23:06.895262+00:00
Aideen,twisting-nether,6,Raider Alt,Raider Alt,False,9,Warlock,80,27,27,100.0,2025-02-10,2024-09-11,True,Aideen,2026-04-13T18:23:06.895262+00:00
Hidez,twisting-nether,9,Social,Social,False,4,Rogue,80,0,0,0.0,,,False,Hidez,2026-04-13T18:23:06.895262+00:00
Sophiebae,twisting-nether,9,Social,Social,False,10,Monk,70,3,3,100.0,2021-09-02,2021-08-29,True,Sophiebae,2026-04-13T18:23:06.895262+00:00
Xinxao,twisting-nether,9,Social,Social,False,10,Monk,70,0,0,0.0,,,False,Xinxao,2026-04-13T18:23:06.895262+00:00
Lisawicsz,twisting-nether,6,Raider Alt,Raider Alt,False,5,Priest,70,0,0,0.0,,,False,Lisawicsz,2026-04-13T18:23:06.895262+00:00
Bulkfarsan,twisting-nether,9,Social,Social,False,1,Warrior,80,0,0,0.0,,,False,Bulkfarsan,2026-04-13T18:23:06.895262+00:00
Juiciest,twisting-nether,9,Social,Social,False,3,Hunter,60,0,0,0.0,,,False,Juiciest,2026-04-13T18:23:06.895262+00:00
Smileploxx,twisting-nether,9,Social,Social,False,3,Hunter,60,13,13,100.0,2021-09-03,2021-02-07,True,Smileploxx,2026-04-13T18:23:06.895262+00:00
Fireraizel,twisting-nether,9,Social,Social,False,8,Mage,60,8,8,100.0,2021-04-07,2021-01-27,True,Fireraizel,2026-04-13T18:23:06.895262+00:00
Lornokin,twisting-nether,9,Social,Social,False,11,Druid,70,0,0,0.0,,,False,Lornokin,2026-04-13T18:23:06.895262+00:00
Waka,turalyon,9,Social,Social,False,7,Shaman,90,3,3,100.0,2025-03-23,2024-10-27,True,Waka,2026-04-13T18:23:06.895262+00:00
Larssonogue,twisting-nether,9,Social,Social,False,4,Rogue,80,1,1,100.0,2024-11-24,2024-11-24,True,Larssonogue,2026-04-13T18:23:06.895262+00:00
Barkturia,silvermoon,9,Social,Social,False,11,Druid,80,0,0,0.0,,,False,Barkturia,2026-04-13T18:23:06.895262+00:00
Norgesfinest,twisting-nether,6,Raider Alt,Raider Alt,False,4,Rogue,36,0,0,0.0,,,False,Norgesfinest,2026-04-13T18:23:06.895262+00:00
Akitype,ravencrest,9,Social,Social,False,11,Druid,84,1,1,100.0,2024-11-24,2024-11-24,True,Akitype,2026-04-13T18:23:06.895262+00:00
Shmimishmimi,silvermoon,6,Raider Alt,Raider Alt,False,11,Druid,80,1,1,100.0,2025-07-06,2025-07-06,True,Shmimishmimi,2026-04-13T18:23:06.895262+00:00
Gretty,twisting-nether,9,Social,Social,False,1,Warrior,82,0,0,0.0,,,False,Gretty,2026-04-13T18:23:06.895262+00:00
Lisicata,sylvanas,9,Social,Social,False,11,Druid,90,2,2,100.0,2025-03-25,2025-03-16,True,Lisicata,2026-04-13T18:23:06.895262+00:00
Silliest,kazzak,9,Social,Social,False,3,Hunter,80,1,1,100.0,2024-10-06,2024-10-06,True,Silliest,2026-04-13T18:23:06.895262+00:00
Lauur,twisting-nether,7,Bestie,Bestie,False,8,Mage,32,0,0,0.0,,,False,Lauur,2026-04-13T18:23:06.895262+00:00
Yevios,twisting-nether,3,Officer Alt,Officer,True,3,Hunter,71,0,0,0.0,,,False,Yevios,2026-04-13T18:23:06.895262+00:00
Axhindor,twisting-nether,9,Social,Social,False,6,Death Knight,71,0,0,0.0,,,False,Axhindor,2026-04-13T18:23:06.895262+00:00
Indiex,twisting-nether,9,Social,Social,False,12,Demon Hunter,64,0,0,0.0,,,False,Indiex,2026-04-13T18:23:06.895262+00:00
Krutgubbe,twisting-nether,9,Social,Social,False,9,Warlock,60,0,0,0.0,,,False,Krutgubbe,2026-04-13T18:23:06.895262+00:00
Nobinminge,twisting-nether,7,Bestie,Bestie,False,1,Warrior,80,9,9,100.0,2024-10-23,2024-09-29,True,Nobinminge,2026-04-13T18:23:06.895262+00:00
Rumimae,twisting-nether,9,Social,Social,False,12,Demon Hunter,87,0,0,0.0,,,False,Rumimae,2026-04-13T18:23:06.895262+00:00
Temiti,twisting-nether,3,Officer Alt,Officer,True,11,Druid,90,2,2,100.0,2026-03-23,2026-03-18,True,Temiti,2026-04-13T18:23:06.895262+00:00
Noncestomper,twisting-nether,9,Social,Social,False,2,Paladin,70,0,0,0.0,,,False,Noncestomper,2026-04-13T18:23:06.895262+00:00
Zogy,twisting-nether,9,Social,Social,False,6,Death Knight,80,0,0,0.0,,,False,Zogy,2026-04-13T18:23:06.895262+00:00
Lenus,twisting-nether,2,Officer,Officer,True,12,Demon Hunter,90,270,270,100.0,2026-04-13,2022-12-18,True,Lenus,2026-04-13T18:23:06.895262+00:00
Crustygems,twisting-nether,3,Officer Alt,Officer,True,8,Mage,84,1,1,100.0,2024-10-23,2024-10-23,True,Crustygems,2026-04-13T18:23:06.895262+00:00
Flamegrinder,twisting-nether,9,Social,Social,False,8,Mage,70,4,4,100.0,2022-12-21,2022-12-14,True,Flamegrinder,2026-04-13T18:23:06.895262+00:00
Pappaspray,twisting-nether,9,Social,Social,False,3,Hunter,44,0,0,0.0,,,False,Pappaspray,2026-04-13T18:23:06.895262+00:00
Lunars,twisting-nether,9,Social,Social,False,11,Druid,70,0,0,0.0,,,False,Lunars,2026-04-13T18:23:06.895262+00:00
Infernie,twisting-nether,9,Social,Social,False,9,Warlock,60,0,0,0.0,,,False,Infernie,2026-04-13T18:23:06.895262+00:00
Ollieyay,twisting-nether,7,Bestie,Bestie,False,6,Death Knight,80,71,71,100.0,2025-05-12,2023-09-25,True,Ollieyay,2026-04-13T18:23:06.895262+00:00
Prôdí,ravencrest,9,Social,Social,False,5,Priest,80,0,0,0.0,,,False,Prôdí,2026-04-13T18:23:06.895262+00:00
Rizzolisa,silvermoon,9,Social,Social,False,8,Mage,80,0,0,0.0,,,False,Rizzolisa,2026-04-13T18:23:06.895262+00:00
Whacky,twisting-nether,9,Social,Social,False,3,Hunter,82,1,1,100.0,2025-03-05,2025-03-05,True,Whacky,2026-04-13T18:23:06.895262+00:00
Zephers,wildhammer,9,Social,Social,False,2,Paladin,80,0,0,0.0,,,False,Zephers,2026-04-13T18:23:06.895262+00:00
Imwinter,twisting-nether,9,Social,Social,False,2,Paladin,66,0,0,0.0,,,False,Imwinter,2026-04-13T18:23:06.895262+00:00
Peearr,twisting-nether,6,Raider Alt,Raider Alt,False,1,Warrior,80,0,0,0.0,,,False,Peearr,2026-04-13T18:23:06.895262+00:00
Spaghettioz,ravencrest,9,Social,Social,False,12,Demon Hunter,50,0,0,0.0,,,False,Spaghettioz,2026-04-13T18:23:06.895262+00:00
Everrin,twisting-nether,5,Raider,Raider,True,13,Evoker,90,9,9,100.0,2026-04-13,2026-03-18,True,Everrin,2026-04-13T18:23:06.895262+00:00
Roague,twisting-nether,9,Social,Social,False,4,Rogue,70,11,11,100.0,2023-02-26,2021-09-02,True,Roague,2026-04-13T18:23:06.895262+00:00
Edarn,twisting-nether,6,Raider Alt,Raider Alt,False,8,Mage,81,1,1,100.0,2024-12-29,2024-12-29,True,Edarn,2026-04-13T18:23:06.895262+00:00
Sanctifiy,twisting-nether,9,Social,Social,False,2,Paladin,80,0,0,0.0,,,False,Sanctifiy,2026-04-13T18:23:06.895262+00:00
