report_code,fight_id,encounter_id,boss_name,zone_name,difficulty,difficulty_label,raid_night_date,is_kill,duration_seconds,player_name,player_class,role,spec,avg_item_level,potion_use,healthstone_use,crit_rating,haste_rating,mastery_rating,versatility_rating,throughput_per_second,rank_percent,bracket_percent,rank_string
GxYm9Td8tZLQHXpF,10,2709,Igira the Cruel,"Amirdrassil, the Dream's Hope",4,Heroic,2024-05-29,True,159,Wingseb,Paladin,dps,Retribution,519.0,0,0,3807,4906,5799,5525,334770,67.0,60.0,~3780
GxYm9Td8tZLQHXpF,41,2677,Fyrakk the Blazing,"Amirdrassil, the Dream's Hope",4,Heroic,2024-05-29,True,388,Codders,Mage,dps,Fire,507.0,0,0,2193,7470,5079,4073,230359,48.0,95.0,~474
B1pRfaPD2WLN3g4k,1,2423,The Tarragrue,Sanctum of Domination,4,Heroic,2021-07-21,True,291,Phazex,Rogue,dps,Assassination,232.0,0,0,577,562,285,418,12887,97.0,96.0,~473
3QhvWxKCZ6RXTtrp,1,2423,The Tarragrue,Sanctum of Domination,5,Mythic,2022-02-25,True,196,Xariall,Druid,dps,Balance,254.0,0,0,359,705,823,316,13825,64.0,41.0,~206
HhpVC8qWDKvBXamA,43,3016,Chrome King Gallywix,Liberation of Undermine,3,Normal,2025-03-16,True,345,Blackóút,Shaman,dps,Enhancement,639.0,0,0,2822,20920,17112,1835,1438069,69.0,72.0,~7993
3jdNx68m2VJgzQaB,8,2423,The Tarragrue,Sanctum of Domination,5,Mythic,2021-09-15,True,256,Loafulevil,Warrior,dps,Arms,243.0,0,0,861,387,400,517,10607,38.0,54.0,~8751
7Fxrt1PH8gnXVjRw,36,2607,Raszageth the Storm-Eater,Vault of the Incarnates,4,Heroic,2024-08-19,True,464,Gigacodders,DemonHunter,dps,Havoc,488.0,0,0,7161,2890,3061,5204,285842,63.0,100.0,~478
8tYPZQ1394bBzw6H,4,2540,"Dausegne, the Fallen Oracle",Sepulcher of the First Ones,4,Heroic,2022-03-13,True,266,Elfeyes,Hunter,dps,Marksmanship,259.0,0,0,706,474,726,364,7665,70.0,48.0,~1512
6xP4Z9y3pVzBKbAw,24,2898,"Sikran, Captain of the Sureki",Nerub-ar Palace,5,Mythic,2024-11-06,True,260,Hobbyalkis,Rogue,dps,Assassination,625.0,0,0,7458,10213,20406,1114,915248,15.0,23.0,~7034
DFANHypwvLTzfWaQ,26,3013,Sprocketmonger Lockenstock,Liberation of Undermine,4,Heroic,2025-03-19,True,265,Enjiie,DemonHunter,dps,Havoc,654.0,0,0,23648,6128,7631,6136,1354332,33.0,23.0,~13237
