zone_id,zone_name,encounter_id,encounter_name,difficulty_names
47,Mythic+ Season 1,112526,Algeth'ar Academy,['Dungeon']
46,VS / DR / MQD,3179,Fallen-King Salhadaar,['Mythic' 'Heroic' 'Normal' 'LFR']
46,VS / DR / MQD,3176,Imperator Averzian,['Mythic' 'Heroic' 'Normal' 'LFR']
47,Mythic+ Season 1,12874,Maisara Caverns,['Dungeon']
41,Delves,2985,Zek'vir ?,['' '']
47,Mythic+ Season 1,12805,Windrunner Spire,['Dungeon']
41,Delves,3325,Nexus-Princess Ky'veza ??,['' '']
47,Mythic+ Season 1,10658,Pit of Saron,['Dungeon']
46,VS / DR / MQD,3182,"Belo'ren, Child of Al'ar",['Mythic' 'Heroic' 'Normal' 'LFR']
46,VS / DR / MQD,3306,"Chimaerus, the Undreamt God",['Mythic' 'Heroic' 'Normal' 'LFR']
46,VS / DR / MQD,3177,Vorasius,['Mythic' 'Heroic' 'Normal' 'LFR']
47,Mythic+ Season 1,12915,Nexus-Point Xenas,['Dungeon']
47,Mythic+ Season 1,361753,Seat of the Triumvirate,['Dungeon']
46,VS / DR / MQD,3180,Lightblinded Vanguard,['Mythic' 'Heroic' 'Normal' 'LFR']
47,Mythic+ Season 1,12811,Magisters' Terrace,['Dungeon']
47,Mythic+ Season 1,61209,Skyreach,['Dungeon']
41,Delves,3126,The Underpin ?,['' '']
41,Delves,2987,Zek'vir ??,['' '']
41,Delves,3138,The Underpin ??,['' '']
46,VS / DR / MQD,3181,Crown of the Cosmos,['Mythic' 'Heroic' 'Normal' 'LFR']
46,VS / DR / MQD,3178,Vaelgor & Ezzorak,['Mythic' 'Heroic' 'Normal' 'LFR']
46,VS / DR / MQD,3183,Midnight Falls,['Mythic' 'Heroic' 'Normal' 'LFR']
41,Delves,3326,Nexus-Princess Ky'veza ?,['' '']
