name,player_class,realm,rank,rank_label,rank_category,is_raid_team,is_active,total_raids_tracked,raids_present,attendance_rate_pct,last_raid_date,first_raid_date
Beckiebtec,,twisting-nether,9,Social,Social,False,False,0,0,0.0,,
Biglade,,twisting-nether,9,Social,Social,False,True,2,2,100.0,2025-07-30,2025-07-30
Wetwarrior,,twisting-nether,9,Social,Social,False,False,0,0,0.0,,
Aideen,,twisting-nether,6,Raider Alt,Raider Alt,False,True,27,27,100.0,2025-02-10,2024-09-11
Hidez,,twisting-nether,9,Social,Social,False,False,0,0,0.0,,
Sophiebae,,twisting-nether,9,Social,Social,False,True,3,3,100.0,2021-09-02,2021-08-29
Xinxao,,twisting-nether,9,Social,Social,False,False,0,0,0.0,,
Lisawicsz,,twisting-nether,6,Raider Alt,Raider Alt,False,False,0,0,0.0,,
Bulkfarsan,,twisting-nether,9,Social,Social,False,False,0,0,0.0,,
Juiciest,,twisting-nether,9,Social,Social,False,False,0,0,0.0,,
Smileploxx,,twisting-nether,9,Social,Social,False,True,13,13,100.0,2021-09-03,2021-02-07
Fireraizel,,twisting-nether,9,Social,Social,False,True,8,8,100.0,2021-04-07,2021-01-27
Lornokin,,twisting-nether,9,Social,Social,False,False,0,0,0.0,,
Waka,,turalyon,9,Social,Social,False,True,3,3,100.0,2025-03-23,2024-10-27
Larssonogue,,twisting-nether,9,Social,Social,False,True,1,1,100.0,2024-11-24,2024-11-24
Barkturia,,silvermoon,9,Social,Social,False,False,0,0,0.0,,
Norgesfinest,,twisting-nether,6,Raider Alt,Raider Alt,False,False,0,0,0.0,,
Akitype,,ravencrest,9,Social,Social,False,True,1,1,100.0,2024-11-24,2024-11-24
Shmimishmimi,,silvermoon,6,Raider Alt,Raider Alt,False,True,1,1,100.0,2025-07-06,2025-07-06
Gretty,,twisting-nether,9,Social,Social,False,False,0,0,0.0,,
Lisicata,,sylvanas,9,Social,Social,False,True,2,2,100.0,2025-03-25,2025-03-16
Silliest,,kazzak,9,Social,Social,False,True,1,1,100.0,2024-10-06,2024-10-06
Lauur,,twisting-nether,7,Bestie,Bestie,False,False,0,0,0.0,,
Yevios,,twisting-nether,3,Officer Alt,Officer,True,False,0,0,0.0,,
Axhindor,,twisting-nether,9,Social,Social,False,False,0,0,0.0,,
Indiex,,twisting-nether,9,Social,Social,False,False,0,0,0.0,,
Krutgubbe,,twisting-nether,9,Social,Social,False,False,0,0,0.0,,
Nobinminge,,twisting-nether,7,Bestie,Bestie,False,True,9,9,100.0,2024-10-23,2024-09-29
Rumimae,,twisting-nether,9,Social,Social,False,False,0,0,0.0,,
Temiti,,twisting-nether,3,Officer Alt,Officer,True,True,2,2,100.0,2026-03-23,2026-03-18
Noncestomper,,twisting-nether,9,Social,Social,False,False,0,0,0.0,,
Zogy,,twisting-nether,9,Social,Social,False,False,0,0,0.0,,
Lenus,,twisting-nether,2,Officer,Officer,True,True,270,270,100.0,2026-04-13,2022-12-18
Crustygems,,twisting-nether,3,Officer Alt,Officer,True,True,1,1,100.0,2024-10-23,2024-10-23
Flamegrinder,,twisting-nether,9,Social,Social,False,True,4,4,100.0,2022-12-21,2022-12-14
Pappaspray,,twisting-nether,9,Social,Social,False,False,0,0,0.0,,
Lunars,,twisting-nether,9,Social,Social,False,False,0,0,0.0,,
Infernie,,twisting-nether,9,Social,Social,False,False,0,0,0.0,,
Ollieyay,,twisting-nether,7,Bestie,Bestie,False,True,71,71,100.0,2025-05-12,2023-09-25
Prôdí,,ravencrest,9,Social,Social,False,False,0,0,0.0,,
Rizzolisa,,silvermoon,9,Social,Social,False,False,0,0,0.0,,
Whacky,,twisting-nether,9,Social,Social,False,True,1,1,100.0,2025-03-05,2025-03-05
Zephers,,wildhammer,9,Social,Social,False,False,0,0,0.0,,
Imwinter,,twisting-nether,9,Social,Social,False,False,0,0,0.0,,
Peearr,,twisting-nether,6,Raider Alt,Raider Alt,False,False,0,0,0.0,,
Spaghettioz,,ravencrest,9,Social,Social,False,False,0,0,0.0,,
Everrin,,twisting-nether,5,Raider,Raider,True,True,9,9,100.0,2026-04-13,2026-03-18
Roague,,twisting-nether,9,Social,Social,False,True,11,11,100.0,2023-02-26,2021-09-02
Edarn,,twisting-nether,6,Raider Alt,Raider Alt,False,True,1,1,100.0,2024-12-29,2024-12-29
Sanctifiy,,twisting-nether,9,Social,Social,False,False,0,0,0.0,,
