player_name,player_class,realm,role,primary_spec,kills_tracked,avg_throughput_per_second,best_throughput_per_second,avg_rank_percent,best_rank_percent,avg_item_level,last_seen_date
Tunaicecrëam,Warlock,Kazzak,dps,Destruction,2,8275953,8478848,93.0,96.0,729.0,2025-11-05
Mochî,Mage,Frostmane,dps,Arcane,2,7957460,8438586,98.5,99.0,728.0,2025-12-01
Solkarrow,Hunter,Hyjal,dps,BeastMastery,3,7727661,9078440,95.7,98.0,729.0,2025-12-01
Mamsteri,Warlock,Stormreaver,dps,Destruction,2,7509503,7790952,97.0,99.0,729.0,2025-12-01
Milpojizzu,DeathKnight,Kazzak,dps,Frost,2,7490513,7491212,35.5,36.0,723.0,2025-11-05
Nirmfonte,Mage,BurningLegion,dps,Arcane,4,7338417,8346092,76.0,88.0,727.0,2025-12-01
Olegrip,DeathKnight,Draenor,dps,Frost,1,7277927,7277927,,,729.0,2026-01-20
Snipedamage,Mage,Bloodfeather,dps,Arcane,5,7031681,9193669,76.8,80.0,729.0,2025-12-01
Bigwargold,Warrior,BurningLegion,dps,Fury,4,6996156,7644375,78.3,84.0,726.0,2025-12-01
Lunaeri,Druid,Stormscale,dps,Balance,2,6941391,7432975,89.0,90.0,725.0,2025-12-01
Маммамия,DemonHunter,СвежевательДуш,dps,Havoc,2,6868905,7309271,98.0,98.0,729.0,2025-12-01
Deloop,Shaman,Kazzak,dps,Elemental,2,6796968,6797602,44.0,44.0,722.0,2025-11-05
Lyonarise,Warrior,TwistingNether,dps,Fury,1,6642720,6642720,,,729.0,2026-01-20
Kaniko,Hunter,Blackrock,dps,BeastMastery,2,6600135,7117137,92.5,93.0,728.0,2025-12-01
Ghostrideer,DeathKnight,Draenor,dps,Frost,2,6572202,7021160,90.0,91.0,726.0,2025-12-01
Stormlóck,Warlock,Silvermoon,dps,Destruction,1,6361821,6361821,93.0,93.0,729.0,2025-12-01
Kakaó,Paladin,Blackrock,dps,Retribution,2,6261089,6827493,86.0,87.0,724.0,2025-12-01
Enjiedk,DeathKnight,TwistingNether,dps,Frost,65,6116903,10323295,83.0,99.0,629.9,2026-01-26
Galbolt,Shaman,Silvermoon,dps,Elemental,1,6030849,6030849,72.0,72.0,714.0,2025-12-01
Бесярикк,Hunter,Ревущийфьорд,dps,BeastMastery,2,5701891,6336067,78.5,83.0,727.0,2025-12-01
Swerdon,DeathKnight,BurningLegion,dps,Frost,4,5544367,6741883,53.0,66.0,721.0,2025-12-01
Oyder,Mage,Kazzak,dps,Fire,45,5533334,9034253,52.9,90.0,710.4,2026-01-20
Lakilla,DemonHunter,Antonidas,dps,Havoc,1,5530535,5530535,57.0,57.0,712.0,2025-09-14
Tmi,Warlock,TwistingNether,dps,Destruction,79,5461622,9426475,76.8,99.0,705.4,2026-01-20
Narathon,Evoker,TarrenMill,dps,Devastation,1,5461592,5461592,82.0,82.0,726.0,2025-12-01
Sørä,Rogue,Ragnaros,dps,Subtlety,2,5444415,5673932,79.5,82.0,725.0,2025-12-01
Консилери,Warlock,Гордунни,dps,Destruction,3,5373705,6782845,52.0,53.0,706.0,2025-12-01
Bigfatherkw,Hunter,Kazzak,dps,BeastMastery,4,5280569,6615545,52.8,69.0,708.0,2025-12-01
Warmanfred,Warrior,BurningLegion,dps,Fury,4,5267448,6130133,47.3,52.0,708.0,2025-12-01
Tîas,Hunter,Blackhand,dps,Marksmanship,6,5011503,5842850,72.0,85.0,712.0,2025-09-14
Karllia,Hunter,ArgentDawn,dps,Devourer,12,4785618,7422153,43.5,91.0,720.8,2026-01-20
Disorders,Warlock,TwistingNether,dps,Destruction,99,4769464,9607971,63.2,98.0,646.9,2026-02-02
Cogsy,Hunter,ArgentDawn,dps,BeastMastery,79,4650644,8484545,70.7,99.0,706.2,2025-10-15
Daydreaming,Warrior,Al'Akir,dps,Fury,67,4625665,7591093,68.4,99.0,706.4,2025-09-24
Sscarecroww,Hunter,Silvermoon,dps,BeastMastery,2,4604761,4768871,55.0,66.0,725.0,2025-12-01
Ákame,Rogue,Kazzak,dps,Assassination,3,4604276,5649886,63.7,76.0,712.0,2025-09-14
Luzihunt,Hunter,Blackhand,dps,BeastMastery,4,4582210,5393991,38.3,48.0,717.0,2025-12-01
Elpudde,Shaman,TarrenMill,dps,Elemental,1,4555683,4555683,66.0,66.0,711.0,2025-09-14
Mêoow,Druid,TwistingNether,dps,Feral,76,4519798,7595028,68.6,99.0,702.8,2025-10-15
Érlenður,Paladin,Antonidas,dps,Retribution,4,4461556,5490562,35.3,40.0,713.0,2025-12-01
Yearnvoker,Evoker,Silvermoon,dps,Devastation,83,4208495,7352323,50.3,99.0,707.5,2025-10-15
Ensyxo,Mage,TwistingNether,dps,Arcane,45,4040607,6806956,70.0,99.0,684.2,2026-02-02
Jonyboy,Warrior,TwistingNether,dps,Fury,29,3854697,9449720,68.3,93.0,509.0,2026-02-02
Callmefreak,DemonHunter,Silvermoon,dps,Havoc,2,3851128,4683708,47.5,59.0,724.0,2025-12-01
Delvur,Paladin,ArgentDawn,dps,Retribution,5,3653477,5646715,61.6,79.0,686.8,2025-08-31
Омниторекс,Hunter,Ревущийфьорд,dps,BeastMastery,1,3649681,3649681,75.0,75.0,702.0,2025-12-01
Qiceti,Hunter,Ysondre,dps,BeastMastery,1,3603164,3603164,45.0,45.0,711.0,2025-09-14
Сахан,Hunter,Гордунни,dps,BeastMastery,1,3585822,3585822,73.0,73.0,715.0,2025-12-01
Vándal,Hunter,Blackrock,dps,BeastMastery,1,3454387,3454387,71.0,71.0,698.0,2025-12-01
Sixteen,Warrior,DarkmoonFaire,dps,Arms,1,3425941,3425941,77.0,77.0,720.0,2025-12-01
