player_name,player_class,realm,is_guild_member,rank,rank_label,rank_category,is_raid_team,primary_role,primary_spec,kills_tracked,avg_throughput_per_second,avg_rank_percent,avg_bracket_percent,best_rank_percent,avg_item_level,avg_active_time_pct,zones_raided,first_kill_date,latest_kill_date,total_raids_tracked,raids_present,attendance_rate_pct
Momobami,Priest,TwistingNether,True,0,Guild Master,GM,True,healer,Holy,779,,,,,419.7,,"['Vault of the Incarnates' 'Manaforge Omega' 'Blackrock Depths'
 'Castle Nathria' 'Sanctum of Domination' 'Liberation of Undermine'
 'Nerub-ar Palace' ""Amirdrassil, the Dream's Hope""
 'Aberrus, the Shadowed Crucible']",2021-02-14,2025-11-23,281,281,100.0
Bamoo,Druid,TwistingNether,True,1,GM Alt,GM,True,dps,Balance,105,,,,,549.4,,"['Vault of the Incarnates' 'Liberation of Undermine' 'Nerub-ar Palace'
 'Sanctum of Domination' 'Castle Nathria' 'Aberrus, the Shadowed Crucible']",2021-04-14,2025-03-19,19,19,100.0
Hobbyalkis,Rogue,TwistingNether,True,2,Officer,Officer,True,dps,Assassination,993,,,,,441.3,,"['Vault of the Incarnates' 'Blackrock Depths'
 'Aberrus, the Shadowed Crucible' ""Amirdrassil, the Dream's Hope""
 'Manaforge Omega' 'Liberation of Undermine' 'Nerub-ar Palace'
 'Sepulcher of the First Ones' 'Castle Nathria' 'VS / DR / MQD'
 'Sanctum of Domination']",2021-01-25,2026-04-08,359,359,100.0
Jadsrune,DeathKnight,TwistingNether,True,2,Officer,Officer,True,tank,Blood,46,,,,,261.1,,['VS / DR / MQD' 'Manaforge Omega'],2026-02-02,2026-04-08,10,10,100.0
Lenus,DemonHunter,TwistingNether,True,2,Officer,Officer,True,tank,Vengeance,813,,,,,528.4,,"['VS / DR / MQD' 'Blackrock Depths' 'Manaforge Omega' 'Nerub-ar Palace'
 'Aberrus, the Shadowed Crucible' 'Liberation of Undermine'
 ""Amirdrassil, the Dream's Hope"" 'Vault of the Incarnates']",2022-12-18,2026-04-06,270,270,100.0
Temitiri,Shaman,TwistingNether,True,2,Officer,Officer,True,dps,Elemental,374,,,,,570.8,,"['Liberation of Undermine' 'Vault of the Incarnates'
 'Aberrus, the Shadowed Crucible' 'Manaforge Omega'
 ""Amirdrassil, the Dream's Hope"" 'Nerub-ar Palace']",2023-05-21,2026-01-20,125,125,100.0
Yevie,Priest,TwistingNether,True,2,Officer,Officer,True,dps,Shadow,106,,,,,376.7,,['Castle Nathria' 'Liberation of Undermine' 'VS / DR / MQD'],2021-02-07,2026-04-08,26,26,100.0
Bami,Mage,TwistingNether,True,3,Officer Alt,Officer,True,dps,Arcane,127,,,,,219.1,,['Castle Nathria'],2021-01-25,2021-04-07,40,40,100.0
Bamie,Monk,TwistingNether,True,3,Officer Alt,Officer,True,healer,Mistweaver,134,,,,,264.1,,['Sanctum of Domination' 'Sepulcher of the First Ones'],2021-08-10,2022-09-12,32,32,100.0
Bammies,Paladin,TwistingNether,True,3,Officer Alt,Officer,True,healer,Holy,36,,,,,368.7,,"['Castle Nathria' 'Sanctum of Domination' 'Aberrus, the Shadowed Crucible']",2021-04-18,2023-06-04,5,5,100.0
Beanus,Mage,TwistingNether,True,3,Officer Alt,Officer,True,dps,Frost,26,,,,,220.3,,['Sanctum of Domination'],2021-08-29,2021-09-12,6,6,100.0
Crustygems,Mage,TwistingNether,True,3,Officer Alt,Officer,True,dps,Fire,8,,,,,587.5,,['Blackrock Depths'],2024-10-23,2024-10-23,1,1,100.0
Evestirwin,DemonHunter,TwistingNether,True,3,Officer Alt,Officer,True,tank,Vengeance,44,,,,,619.1,,['Liberation of Undermine' 'Vault of the Incarnates'],2024-06-05,2025-07-06,5,5,100.0
Fauxcoated,Monk,TwistingNether,True,3,Officer Alt,Officer,True,healer,Mistweaver,32,,,,,549.0,,"['Vault of the Incarnates' 'Manaforge Omega'
 ""Amirdrassil, the Dream's Hope""]",2023-12-10,2025-09-14,4,4,100.0
Leanbean,Unknown,TwistingNether,True,3,Officer Alt,Officer,True,dps,Augmentation,5,,,,,461.0,,"[""Amirdrassil, the Dream's Hope""]",2024-01-07,2024-01-07,1,1,100.0
Leanus,Druid,TwistingNether,True,3,Officer Alt,Officer,True,tank,Guardian,554,,,,,323.0,,"[""Amirdrassil, the Dream's Hope"" 'Aberrus, the Shadowed Crucible'
 'Nerub-ar Palace' 'Vault of the Incarnates' 'Sanctum of Domination'
 'Castle Nathria' 'Liberation of Undermine' 'Manaforge Omega'
 'Sepulcher of the First Ones']",2021-01-25,2025-08-31,163,163,100.0
Linirune,DeathKnight,TwistingNether,True,3,Officer Alt,Officer,True,dps,Frost,16,,,,,591.1,,['Nerub-ar Palace'],2024-09-29,2024-10-02,2,2,100.0
Magicwingers,Evoker,TwistingNether,True,3,Officer Alt,Officer,True,healer,Preservation,722,,,,,568.3,,"['Vault of the Incarnates' 'Blackrock Depths' 'Liberation of Undermine'
 ""Amirdrassil, the Dream's Hope"" 'Nerub-ar Palace' 'Manaforge Omega'
 'Aberrus, the Shadowed Crucible']",2023-01-22,2026-01-26,228,228,100.0
Maxzor,Hunter,TwistingNether,True,3,Officer Alt,Officer,True,dps,Marksmanship,14,,,,,200.8,,['Castle Nathria'],2021-03-21,2021-04-04,5,5,100.0
Momobamie,Hunter,TwistingNether,True,3,Officer Alt,Officer,True,dps,BeastMastery,31,,,,,244.0,,['Sepulcher of the First Ones' 'Sanctum of Domination' 'Castle Nathria'],2021-03-12,2022-09-14,6,6,100.0
Momojadsie,Priest,TwistingNether,True,3,Officer Alt,Officer,True,healer,Holy,141,,,,,440.6,,"['Liberation of Undermine' 'Aberrus, the Shadowed Crucible'
 'Vault of the Incarnates']",2022-12-14,2025-06-18,45,45,100.0
Momoos,Unknown,TwistingNether,True,3,Officer Alt,Officer,True,,,0,,,,,,,,,,0,0,0.0
Oxhorde,Druid,TwistingNether,True,3,Officer Alt,Officer,True,healer,Restoration,161,,,,,281.2,,"['Sepulcher of the First Ones' 'Castle Nathria' 'Nerub-ar Palace'
 'Sanctum of Domination']",2022-03-06,2024-09-29,33,33,100.0
Temiti,Druid,TwistingNether,True,3,Officer Alt,Officer,True,healer,Restoration,12,,,,,240.5,,['VS / DR / MQD'],2026-03-18,2026-03-23,2,2,100.0
Temra,Warlock,TwistingNether,True,3,Officer Alt,Officer,True,dps,Demonology,395,,,,,378.9,,"['Sanctum of Domination' 'Aberrus, the Shadowed Crucible'
 ""Amirdrassil, the Dream's Hope"" 'Sepulcher of the First Ones'
 'Vault of the Incarnates' 'Castle Nathria' 'Nerub-ar Palace']",2021-04-18,2024-10-06,121,121,100.0
Waterfalls,Shaman,TwistingNether,True,3,Officer Alt,Officer,True,healer,Restoration,27,,,,,586.9,,['Nerub-ar Palace'],2024-09-15,2024-09-29,3,3,100.0
Yeviel,Paladin,TwistingNether,True,3,Officer Alt,Officer,True,healer,Holy,309,,,,,344.4,,['Sanctum of Domination' 'Liberation of Undermine' 'Castle Nathria'],2021-01-25,2025-07-16,116,116,100.0
