player_name,player_class,total_deaths,kills_tracked,deaths_per_kill,most_common_killing_blow,most_common_killing_blow_count,zones_died_in,last_death_timestamp_ms
Enjxi,DeathKnight,204,1,204.0,Reckless Impact,38,['Nerub-ar Palace'],8291460
Olegrip,DeathKnight,36,1,36.0,Oblivion,14,['Manaforge Omega'],6177582
Amzbot,DeathKnight,32,0,32.0,Venom Nova,3,['Nerub-ar Palace'],7407775
Lyonarise,Warrior,27,1,27.0,Null Binding,5,['Manaforge Omega'],5909661
Delvur,Paladin,77,5,15.4,Canister Detonation,16,['Liberation of Undermine' 'Manaforge Omega'],5260332
Benspala,Paladin,30,2,15.0,Canister Detonation,4,['Nerub-ar Palace' 'Liberation of Undermine'],5260516
Milpojizzu,DeathKnight,26,2,13.0,Stars Collide,6,['Manaforge Omega'],5879025
Overated,Paladin,13,0,13.0,Oblivion,7,['Manaforge Omega'],6193403
Pirogochek,Monk,11,0,11.0,Canister Detonation,3,['Liberation of Undermine'],3789304
Miaomiao,Monk,11,1,11.0,Oblivion,5,['Manaforge Omega'],5309698
Markerr,Druid,10,0,10.0,Zagging Zizzler,5,['Liberation of Undermine'],3799934
Flaylock,Warlock,10,0,10.0,Paralyzing Waves,3,['Nerub-ar Palace'],3401299
Anastherion,Mage,10,0,10.0,Canister Detonation,5,['Liberation of Undermine'],3809317
Olesmash,Warrior,10,0,10.0,Devour,2,['Manaforge Omega'],4102706
Tunaicecrëam,Warlock,18,2,9.0,Stars Collide,4,['Manaforge Omega'],3824559
Deloop,Shaman,18,2,9.0,Stars Collide,6,['Manaforge Omega'],4222481
Rosswl,Warlock,9,0,9.0,Shadowgate,5,['Nerub-ar Palace'],4406053
Deadrasta,DeathKnight,9,0,9.0,Canister Detonation,2,['Liberation of Undermine'],3549626
Swoltide,Shaman,15,2,7.5,Firewall,3,['Blackrock Depths'],5131473
Borpaspin,Shaman,49,7,7.0,Reactive Froth,6,['Nerub-ar Palace'],7021425
Królu,Warlock,14,2,7.0,Dying Flare,3,['Blackrock Depths'],5334406
Holizer,Paladin,14,2,7.0,Blaze,3,['Blackrock Depths'],5335966
Ethernallol,Druid,7,0,7.0,Venomous Rain,2,['Nerub-ar Palace'],5807803
Legpress,Warrior,7,0,7.0,Big Bad Buncha Bombs,2,['Liberation of Undermine'],2910511
Floorpovjaz,DemonHunter,7,0,7.0,Canister Detonation,4,['Liberation of Undermine'],2910354
Sasuqt,Shaman,7,1,7.0,Venom Nova,2,['Nerub-ar Palace'],7697676
Oyder,Mage,307,45,6.82,Tyranny,30,['Manaforge Omega'],24950887
Lisicata,Druid,13,2,6.5,Scatterblast Canisters,5,['Liberation of Undermine'],8553449
Gnearning,Mage,13,2,6.5,Oblivion,5,['Manaforge Omega'],3439462
Thehóff,Warrior,6,0,6.0,Poison Bolt,3,['Nerub-ar Palace'],5805297
Ciapanqulo,DemonHunter,6,0,6.0,Melee,4,['Nerub-ar Palace'],5794055
Завармаг,Mage,6,0,6.0,Reckless Impact,3,['Nerub-ar Palace'],5777566
Slotmachine,DeathKnight,6,0,6.0,Poison Bolt,5,['Nerub-ar Palace'],5799065
Kronkfar,Warrior,6,0,6.0,Reckless Impact,3,['Nerub-ar Palace'],5784629
Holyflames,Priest,6,0,6.0,Canister Detonation,3,['Liberation of Undermine'],2882936
Wannerdk,DeathKnight,68,12,5.67,Poison Burst,15,['Nerub-ar Palace'],21281113
Loknahar,Shaman,326,64,5.09,Reckless Impact,24,['Liberation of Undermine' 'Nerub-ar Palace'],21320218
Chikenplain,Shaman,10,2,5.0,Oblivion,3,['Manaforge Omega'],4146367
Snich,Warrior,5,0,5.0,Reckless Impact,3,['Nerub-ar Palace'],5640966
Witheredrosê,DeathKnight,5,0,5.0,Venomous Rain,3,['Nerub-ar Palace'],5644087
Пигтрип,DeathKnight,5,0,5.0,Venomous Rain,3,['Nerub-ar Palace'],5652666
Раннару,Paladin,5,0,5.0,Venomous Rain,2,['Nerub-ar Palace'],5658530
Robmaster,Warrior,5,0,5.0,Acrid Presence,2,['Nerub-ar Palace'],7695712
Альшанди,Druid,5,0,5.0,Reckless Impact,4,['Nerub-ar Palace'],5640964
Talík,Rogue,5,0,5.0,Burrowed Eruption,2,['Nerub-ar Palace'],5643079
Glizzyrider,Monk,34,7,4.86,Double-Minded Fury,4,['Liberation of Undermine'],6208813
Tmi,Warlock,379,79,4.8,Oblivion,61,['Manaforge Omega'],24950889
Enjiedk,DeathKnight,316,68,4.65,Oblivion,31,['Manaforge Omega' 'Liberation of Undermine'],24950623
Piyan,Monk,204,45,4.53,Astral Surge,17,['Manaforge Omega'],11063372
Karllia,Hunter,263,60,4.38,Oblivion,46,['Manaforge Omega'],25131936
