report_code,report_title,start_time_utc,end_time_utc,zone_id,zone_name,raid_night_date,primary_difficulty,total_pulls,boss_kills,total_wipes,total_fight_seconds,unique_bosses_engaged,unique_bosses_killed
hzAPY2FJ1QctbGZN,2023-10-04 PLEASE PLEASE PLEASE KILL SARK,2023-10-04 17:46:15.311,2023-10-04 21:07:56.052,33,"Aberrus, the Shadowed Crucible",2023-10-04,Mythic,26,0,26,6788,1,0
8QHKg1kdzZa7AXp9,2023-07-24 Zskarn kill,2023-07-24 17:52:07.773,2023-07-24 21:04:30.309,33,"Aberrus, the Shadowed Crucible",2023-07-24,Mythic,26,1,25,6175,2,1
vw9h82qRbYWzBJ7M,Kyveza 24-12-16,2024-12-16 18:48:56.810,2024-12-16 22:02:56.889,38,Nerub-ar Palace,2024-12-16,Mythic,33,1,32,4229,2,1
C61kw8BLbVGAvJWq,CN Heroic Alt run,2021-04-14 18:04:58.762,2021-04-14 20:00:13.618,26,Castle Nathria,2021-04-14,Heroic,5,3,2,1084,4,3
FZRrB6M1HKmDn38g,2023-05-22,2023-05-22 17:57:19.624,2023-05-22 20:40:45.282,33,"Aberrus, the Shadowed Crucible",2023-05-22,Mythic,20,10,10,3946,9,9
cavqmBxPCgArZzYp,2023-09-06 sark,2023-09-06 18:04:02.658,2023-09-06 20:56:07.611,33,"Aberrus, the Shadowed Crucible",2023-09-06,Mythic,27,0,27,5017,1,0
wMtd86DnyqfQYzx1,Smolderon Round 2: FIGHT - Mythic 29-01,2024-01-29 18:59:45.430,2024-01-29 21:50:59.050,35,"Amirdrassil, the Dream's Hope",2024-01-29,Mythic,26,0,26,4828,1,0
V8XTDFM1h64wCRdf,"2023-11-15 Roa is dead, Long live Jads - Amirdrassil Raid #1",2023-11-15 18:48:20.214,2023-11-15 22:09:41.099,35,"Amirdrassil, the Dream's Hope",2023-11-15,Heroic,18,11,7,4030,9,9
Bj1dwva4pZr2yT8A,2023-08-30 sark,2023-08-30 17:57:47.272,2023-08-30 20:58:45.513,33,"Aberrus, the Shadowed Crucible",2023-08-30,Mythic,28,0,28,5544,1,0
tJ6ywfmxBHDbKgCc,Achievement run - Big logs = FAIL!!!,2025-05-04 17:45:05.649,2025-05-04 19:27:44.546,42,Liberation of Undermine,2025-05-04,Normal,9,8,1,2107,8,8
hNkWgYHwm7qbFBf9,Painsmith,2021-10-18 18:08:31.090,2021-10-18 21:04:02.509,28,Sanctum of Domination,2021-10-18,Mythic,27,0,27,5998,1,0
2MTcwmKpLkCb9fyJ,20-03 Raz,2023-03-20 18:48:18.512,2023-03-20 22:06:22.436,31,Vault of the Incarnates,2023-03-20,Mythic,33,0,33,5019,1,0
b6mfajkYZ7vq3NTR,Nexus King Final Day - 11-05,2025-11-05 19:47:20.290,2025-11-05 21:04:10.300,44,Manaforge Omega,2025-11-05,Mythic,9,1,8,2268,1,1
xnF37aCA2HzbBY6J,2025-09-01 DIMMYD,2025-09-01 17:48:00.835,2025-09-01 21:06:05.631,44,Manaforge Omega,2025-09-01,Heroic,29,1,28,5602,2,1
DFANHypwvLTzfWaQ,No stops on the gambling train 03-19,2025-03-19 18:54:11.330,2025-03-19 21:59:05.266,42,Liberation of Undermine,2025-03-19,Heroic,22,7,15,5302,8,7
jczM7t4GmBCHW9yD,Sylvanas 15 dec,2021-12-15 18:50:44.481,2021-12-15 21:58:12.577,28,Sanctum of Domination,2021-12-15,Mythic,29,0,29,5415,1,0
fZnXNFY1jRqvLrm9,Enis Raid Attempt #1 - 09-14,2025-09-14 16:02:49.392,2025-09-14 17:31:26.073,44,Manaforge Omega,2025-09-14,Heroic,8,6,2,2378,6,6
yXArcwYjLRvNnZTm,27 april hc full,2022-04-27 18:20:18.699,2022-04-27 19:56:12.406,29,Sepulcher of the First Ones,2022-04-27,Heroic,9,8,1,2463,8,8
GP4XCHkzyhJdnj9A,Sylvanas 13 dec,2021-12-13 19:09:21.859,2021-12-13 22:02:14.482,28,Sanctum of Domination,2021-12-13,Mythic,29,0,29,5292,1,0
MjTcF2n9JvXRfPwY,GigaGizmo pt 2 from guardian,2021-08-08 20:36:20.182,2021-08-08 21:54:14.598,28,Sanctum of Domination,2021-08-08,Normal,6,4,2,2188,4,4
MyRLwt3ZJH2XCkcG,Myffic 26-06,2023-06-26 17:54:01.961,2023-06-26 21:02:48.089,33,"Aberrus, the Shadowed Crucible",2023-06-26,Mythic,22,2,20,5899,3,2
Q9yKTXH7DMb4AFrk,2023-11-01 sark reclear,2023-11-01 19:08:51.700,2023-11-01 22:05:38.764,33,"Aberrus, the Shadowed Crucible",2023-11-01,Mythic,28,0,28,6430,1,0
9PDhbaTKq7WC8zXt,Broodtwister Mythic 1111,2024-11-11 18:57:00.575,2024-11-11 22:04:22.325,38,Nerub-ar Palace,2024-11-11,Mythic,39,0,39,5564,1,0
Vby9x6hBLHt1Wmp3,Sylvanas 22 feb KILL,2022-02-22 18:48:03.137,2022-02-22 21:56:04.846,28,Sanctum of Domination,2022-02-22,Mythic,14,1,13,7961,1,1
rVnDB4fcb9qZAPLv,Sweaty Beaty Muggy - 06-16,2025-06-16 17:43:17.830,2025-06-16 20:46:26.017,42,Liberation of Undermine,2025-06-16,Mythic,30,0,30,5001,1,0
LnW7rQb6XRvjM2ah,2023-08-28 sark,2023-08-28 18:01:11.308,2023-08-28 20:57:34.872,33,"Aberrus, the Shadowed Crucible",2023-08-28,Mythic,30,0,30,4894,1,0
fxg7j6zyVL28Gtp4,yailer,2022-05-23 18:11:13.458,2022-05-23 18:58:57.404,29,Sepulcher of the First Ones,2022-05-23,Heroic,7,1,6,1752,1,1
hRytYCf7xp61GkQA,demon tarragrue + the eye,2021-09-02 19:21:24.040,2021-09-02 19:41:12.069,28,Sanctum of Domination,2021-09-02,Normal,2,2,0,550,2,2
LXMB2HJV7Dwjy9Qg,Mythic,2021-08-16 19:37:51.832,2021-08-16 20:52:20.778,28,Sanctum of Domination,2021-08-16,Mythic,7,2,5,1727,2,2
x2nc1KPaGTzY9fmF,CN Heroic SLG/SIRE,2021-04-14 18:04:58.762,2021-04-14 18:45:04.697,26,Castle Nathria,2021-04-14,Heroic,5,2,3,1363,2,2
G9AgfJmZwBtNkXP3,hc sanc,2021-07-14 18:36:30.941,2021-07-14 20:02:04.944,28,Sanctum of Domination,2021-07-14,Heroic,10,3,7,2276,3,3
A3fRPv7yYxw94KkL,Sylvanas 10 jan,2022-01-10 19:21:19.820,2022-01-10 21:59:17.992,28,Sanctum of Domination,2022-01-10,Mythic,20,0,20,5864,1,0
W1JcVnmY3jNfXMT2,2022-12-28 hc reclear,2022-12-28 18:57:17.065,2022-12-28 22:04:26.808,31,Vault of the Incarnates,2022-12-28,Heroic,18,8,10,3430,7,7
cyMKawqZX8YfVg6D,Sylvanas 26 jan,2022-01-26 18:56:11.582,2022-01-26 22:03:43.589,28,Sanctum of Domination,2022-01-26,Mythic,18,0,18,6897,1,0
R7NHnYKmj2aJgwVC,Right side Best Side 10-29,2025-10-29 18:52:53.485,2025-10-29 22:32:21.141,44,Manaforge Omega,2025-10-29,Mythic,34,0,34,6116,1,0
HZ7GdwbgWhLKnqvB,CN heroic alt run,2021-02-28 19:01:02.083,2021-02-28 19:51:06.496,26,Castle Nathria,2021-02-28,Heroic,5,3,2,1184,3,3
jJR6C24cTLXDghrM,2023-07-10,2023-07-10 17:54:39.043,2023-07-10 21:00:39.364,33,"Aberrus, the Shadowed Crucible",2023-07-10,Mythic,21,2,19,5539,3,2
cxfTpRmZBnyV9ah1,normal social run,2023-01-01 19:40:31.777,2023-01-01 21:05:39.271,31,Vault of the Incarnates,2023-01-01,Normal,8,6,2,2025,6,6
Dt7XnwbrZ96BRqWP,2023-01-10 reclear,2024-01-10 18:48:35.238,2024-01-10 21:58:09.045,35,"Amirdrassil, the Dream's Hope",2024-01-10,Heroic,17,8,9,4954,8,8
YA6vtrVW31Z2fGCn,2025-10-08 manayork smomegma,2025-10-08 17:48:39.703,2025-10-08 20:50:17.062,44,Manaforge Omega,2025-10-08,Mythic,16,5,11,3668,5,5
GPzv7N3KbpMHmyQC,Painsmith,2021-10-13 18:10:03.315,2021-10-13 20:58:47.135,28,Sanctum of Domination,2021-10-13,Mythic,30,0,30,5848,1,0
kzTgc1LJ4ZnHhdb6,Reclear -> Muggy Wuggy 06-04,2025-06-04 17:41:32.424,2025-06-04 21:03:12.308,42,Liberation of Undermine,2025-06-04,Heroic,29,4,25,4218,4,4
NydaKxcRtAhBj9D4,Myffic Rikky 03-31,2025-03-31 17:50:14.712,2025-03-31 21:03:30.735,42,Liberation of Undermine,2025-03-31,Mythic,31,1,30,6277,2,1
t1AmyzK8ZvPMXJgc,SC Raid Larodaddy and Smolderface 22/01,2024-01-22 18:58:19.056,2024-01-22 22:02:23.910,35,"Amirdrassil, the Dream's Hope",2024-01-22,Mythic,25,1,24,5509,2,1
4qwJk2n9hZTmVHfR,Lihuvim,2022-03-08 21:10:12.456,2022-03-08 22:39:23.460,29,Sepulcher of the First Ones,2022-03-08,Heroic,7,1,6,2476,2,1
rDM1AxNBGFPmLn98,2025-09-29 fractilicious,2025-09-29 17:59:57.775,2025-09-29 20:05:01.017,44,Manaforge Omega,2025-09-29,Mythic,13,1,12,2402,2,1
JjAK3mQyV9tzR6bn,Jaddy's Home (For real this time),2024-02-07 19:00:37.195,2024-02-07 21:58:02.586,35,"Amirdrassil, the Dream's Hope",2024-02-07,Mythic,28,0,28,5312,1,0
yHBRMf9q1tNhAdJY,Mythic raid fr fr no cap - Amirdrassil 29-11-2023,2023-11-29 18:53:53.138,2023-11-29 22:01:27.094,35,"Amirdrassil, the Dream's Hope",2023-11-29,Heroic,19,10,9,4755,9,9
