player_name,player_class,realm,total_raids_tracked,raids_present,last_seen,first_seen,attendance_rate_pct
,Unknown,,,,,,
Aalesy,Unknown,TwistingNether,,,,,
Aalzar,Unknown,TwistingNether,,,,,
Aardvarks,Unknown,TwistingNether,,,,,
Aariciass,Unknown,Silvermoon,,,,,
Aarkenon,Unknown,Silvermoon,,,,,
Aashnie,Unknown,TwistingNether,,,,,
Aassrow,Unknown,TwistingNether,,,,,
Aatarabrew,Unknown,TwistingNether,,,,,
Aato,Unknown,TwistingNether,,,,,
Aatroxjr,Unknown,TwistingNether,,,,,
Aaxxee,Unknown,TwistingNether,,,,,
Abaddeus,Unknown,TwistingNether,,,,,
Abaddonwarri,Unknown,TwistingNether,,,,,
Abakan,Unknown,TwistingNether,,,,,
Abanka,Unknown,TwistingNether,,,,,
Abarathos,Unknown,TwistingNether,,,,,
Abbelicious,Unknown,TwistingNether,,,,,
Abbenator,Unknown,TwistingNether,,,,,
Abbysal,Unknown,Dragonblight,,,,,
Abbysaldh,Unknown,TwistingNether,,,,,
Abdulismail,Unknown,TwistingNether,,,,,
Abels,Unknown,TwistingNether,,,,,
Abelstan,Unknown,TarrenMill,,,,,
Abenyo,Unknown,TwistingNether,,,,,
Abezethiboü,Unknown,TwistingNether,,,,,
Abfahrer,Warlock,Blackmoore,1.0,1.0,2021-03-25,2021-03-25,100.0
Abigail,Unknown,TarrenMill,,,,,
Abigothien,Unknown,TwistingNether,,,,,
Abloom,Unknown,TwistingNether,,,,,
Abläze,Unknown,Ragnaros,,,,,
Abomb,Unknown,TwistingNether,,,,,
Aboza,Unknown,TwistingNether,,,,,
Abrakaput,Unknown,TwistingNether,,,,,
Abramsx,Unknown,Draenor,,,,,
Absent,Unknown,TwistingNether,,,,,
Absmort,Warlock,Draenor,1.0,1.0,2025-12-01,2025-12-01,100.0
Absolith,Unknown,TwistingNether,,,,,
Absollutaki,Unknown,TwistingNether,,,,,
Absolutes,Unknown,TwistingNether,,,,,
Absolutionyb,Unknown,TwistingNether,,,,,
Abstinëns,Unknown,TwistingNether,,,,,
Absôlutvôdka,Unknown,TwistingNether,,,,,
Abundance,Druid,Kazzak,1.0,1.0,2023-04-19,2023-04-19,100.0
Abushir,Unknown,TwistingNether,,,,,
Abykorro,Unknown,TwistingNether,,,,,
Abysdruid,Unknown,TwistingNether,,,,,
Abyssangel,Unknown,TwistingNether,,,,,
Abyssea,Unknown,TwistingNether,,,,,
Abyx,Unknown,Sylvanas,,,,,
