week_start,raid_nights,total_boss_kills,total_wipes,total_pulls,total_raid_seconds,zones_raided
2021-09-06,4,15,44,59,14133,['Sanctum of Domination']
2022-01-17,2,0,47,47,13335,['Sanctum of Domination']
2023-10-30,2,3,48,51,11860,"['Aberrus, the Shadowed Crucible']"
2024-01-22,2,10,55,65,12451,"[""Amirdrassil, the Dream's Hope""]"
2023-01-09,2,12,23,35,7606,['Vault of the Incarnates']
2023-06-19,2,7,38,45,10799,"['Aberrus, the Shadowed Crucible']"
2021-02-15,4,24,28,52,14228,['Castle Nathria']
2021-12-13,2,0,58,58,10707,['Sanctum of Domination']
2024-01-15,2,6,27,33,8009,"[""Amirdrassil, the Dream's Hope""]"
2026-01-19,2,1,52,53,16447,['Manaforge Omega']
2025-12-15,2,0,60,60,10550,['Manaforge Omega']
2023-01-16,3,10,37,47,12694,['Vault of the Incarnates']
2021-02-01,4,20,27,47,11479,['Castle Nathria']
2023-06-05,2,12,34,46,9803,"['Aberrus, the Shadowed Crucible']"
2026-04-13,1,0,3,3,395,['VS / DR / MQD']
2026-03-30,2,10,31,41,11200,['VS / DR / MQD']
2023-05-08,1,8,12,20,4503,"['Aberrus, the Shadowed Crucible']"
2021-01-25,3,20,34,54,17362,['Castle Nathria']
2024-12-16,3,1,124,125,11180,['Nerub-ar Palace']
2023-09-11,2,0,57,57,11985,"['Aberrus, the Shadowed Crucible']"
2025-11-24,2,0,88,88,9746,['Manaforge Omega']
2021-10-25,2,0,53,53,13719,['Sanctum of Domination']
2021-09-20,2,6,38,44,10023,['Sanctum of Domination']
2024-04-29,2,27,9,36,8651,"['Aberrus, the Shadowed Crucible' 'Vault of the Incarnates']"
2026-01-26,1,10,22,32,5324,['Manaforge Omega']
2025-03-17,3,21,38,59,13892,['Liberation of Undermine']
2025-09-22,2,4,59,63,11293,['Manaforge Omega']
2021-08-16,3,13,10,23,7435,['Sanctum of Domination']
2022-05-02,1,1,21,22,6273,['Sepulcher of the First Ones']
2025-09-01,2,10,39,49,10502,['Manaforge Omega']
2023-12-25,1,8,8,16,3996,"[""Amirdrassil, the Dream's Hope""]"
2023-07-31,2,0,55,55,11306,"['Aberrus, the Shadowed Crucible']"
2021-02-22,6,23,63,86,23775,['Castle Nathria']
2024-10-28,3,22,53,75,11501,['Nerub-ar Palace']
2025-09-29,2,6,31,37,7260,['Manaforge Omega']
2025-02-24,4,0,83,83,15880,['Nerub-ar Palace']
2022-04-11,2,10,37,47,9072,['Sepulcher of the First Ones']
2023-02-20,3,15,43,58,14837,['Vault of the Incarnates']
2024-11-18,3,11,43,54,14068,['Nerub-ar Palace']
2022-12-19,2,15,15,30,8129,['Vault of the Incarnates']
2025-01-20,2,0,54,54,10005,['Nerub-ar Palace']
2024-08-19,1,26,1,27,4492,['Vault of the Incarnates']
2021-10-04,2,10,38,48,8003,['Sanctum of Domination' 'Castle Nathria']
2021-08-30,5,20,38,58,15815,['Sanctum of Domination']
2023-02-27,2,1,55,56,12120,['Vault of the Incarnates']
2023-09-18,2,0,53,53,11242,"['Aberrus, the Shadowed Crucible']"
2022-05-09,1,2,23,25,4831,['Sepulcher of the First Ones']
2025-12-01,1,7,38,45,7409,['Manaforge Omega']
2025-06-30,3,9,41,50,9912,['Liberation of Undermine']
2022-12-26,5,20,31,51,10974,['Vault of the Incarnates']
