layer,table,row_count,status,note
bronze,bronze_guild_reports,4456,ok,"4,456 rows"
bronze,bronze_report_fights,496,ok,496 rows
bronze,bronze_raid_attendance,4438,ok,"4,438 rows"
bronze,bronze_actor_roster,496,ok,496 rows
bronze,bronze_player_details,1751,ok,"1,751 rows"
bronze,bronze_zone_catalog,328,ok,328 rows
bronze,bronze_guild_members,5088,ok,"5,088 rows"
bronze,bronze_fight_rankings,333,ok,333 rows
bronze,bronze_fight_deaths,185,ok,185 rows
silver,silver_guild_reports,496,ok,496 rows
silver,silver_fight_events,10235,ok,"10,235 rows"
silver,silver_raid_attendance,11280,ok,"11,280 rows"
silver,silver_actor_roster,35922,ok,"35,922 rows"
silver,silver_player_performance,35329,ok,"35,329 rows"
silver,silver_player_rankings,0,ok,0 rows
silver,silver_player_deaths,0,ok,0 rows
silver,silver_zone_catalog,362,ok,362 rows
silver,silver_guild_members,846,ok,846 rows
gold,dim_encounter,23,ok,23 rows
gold,dim_player,23409,ok,"23,409 rows"
gold,dim_guild_member,846,ok,846 rows
gold,fact_player_fight_performance,35329,ok,"35,329 rows"
gold,fact_player_events,0,ok,0 rows
gold,gold_guild_roster,846,ok,846 rows
gold,gold_raid_team,84,ok,84 rows
gold,gold_player_profile,23409,ok,"23,409 rows"
gold,gold_player_attendance,1707,ok,"1,707 rows"
gold,gold_weekly_activity,207,ok,207 rows
gold,gold_roster,23409,ok,"23,409 rows"
gold,gold_player_performance_summary,1327,ok,"1,327 rows"
gold,gold_boss_kill_roster,35329,ok,"35,329 rows"
gold,gold_player_boss_performance,15671,ok,"15,671 rows"
gold,gold_boss_progression,292,ok,292 rows
gold,gold_raid_summary,496,ok,496 rows
gold,gold_progression_timeline,263,ok,263 rows
gold,gold_best_kills,287,ok,287 rows
gold,gold_boss_wipe_analysis,224,ok,224 rows
gold,gold_boss_mechanics,224,ok,224 rows
gold,gold_encounter_catalog,23,ok,23 rows
gold,gold_player_survivability,0,ok,0 rows
