code,title,start_time_utc,end_time_utc,zone_id,zone_name,_ingested_at,_source
kyJpCYrFA4Gbv17j,Heroic alt raid,2021-03-14 18:58:35.929,2021-03-14 21:59:10.964,26,Castle Nathria,2026-04-12T09:56:33.161792+00:00,wcl
4ygtXrDWwhcTNPGp,Social HC 11-24,2024-11-24 18:53:42.009,2024-11-24 20:32:00.272,38,Nerub-ar Palace,2026-04-13T18:23:06.895262+00:00,wcl
BPTVWmMg7RCZ2zqv,Hewowic - 03-23,2026-03-23 19:04:59.890,2026-03-23 22:20:42.640,46,VS / DR / MQD,2026-04-12T09:56:33.161792+00:00,wcl
7Fxrt1PH8gnXVjRw,DF FAREWELL RAID,2024-08-19 17:53:49.116,2024-08-19 21:23:54.514,31,Vault of the Incarnates,2026-04-12T09:56:33.161792+00:00,wcl
np7Hz8afhcDTv9gj,HC Skip,2021-09-06 18:00:00.401,2021-09-06 21:05:57.145,28,Sanctum of Domination,2026-04-13T18:23:06.895262+00:00,wcl
JNY1P9hgqwxLWby4,2022-12-21 reclear,2022-12-21 18:54:40.025,2022-12-21 21:57:01.912,31,Vault of the Incarnates,2026-04-12T09:56:33.161792+00:00,wcl
Fc1Y7p9d8mfkqCBQ,Democracy vs Monarchy 02-05,2025-02-05 18:52:57.113,2025-02-05 21:57:33.732,38,Nerub-ar Palace,2026-04-13T18:23:06.895262+00:00,wcl
YqgrxTWDHhXn9dA4,2023-02-13 dathea,2023-02-13 19:14:24.713,2023-02-13 22:05:00.018,31,Vault of the Incarnates,2026-04-12T09:56:33.161792+00:00,wcl
kRH7K3ajVbG24hCP,Sepulcher 9 march,2022-03-09 18:57:27.948,2022-03-09 23:47:48.405,29,Sepulcher of the First Ones,2026-04-13T18:23:06.895262+00:00,wcl
C74qtGdWYKXwch2n,Rasz Red Side,2023-04-03 18:17:59.156,2023-04-03 20:57:43.786,31,Vault of the Incarnates,2026-04-12T09:56:33.161792+00:00,wcl
kPrMRh94aXWT6w7A,blue side raz april 3,2023-04-03 17:55:12.403,2023-04-03 21:01:52.668,31,Vault of the Incarnates,2026-04-12T09:56:33.161792+00:00,wcl
DHWg826KAtv1zPNx,Sylvanas 27 dec,2021-12-27 19:10:14.401,2021-12-27 21:51:56.282,28,Sanctum of Domination,2026-04-13T18:23:06.895262+00:00,wcl
6zNmtTncWpZP4XR9,Mythic Reclear 30/10,2024-10-30 15:23:56.234,2024-10-31 00:46:31.795,38,Nerub-ar Palace,2026-04-13T18:23:06.895262+00:00,wcl
x1b8mRM7ZJcv34gX,2023-08-09 Neltharion,2023-08-09 17:52:45.706,2023-08-09 21:05:42.819,33,"Aberrus, the Shadowed Crucible",2026-04-13T18:23:06.895262+00:00,wcl
Z67JRx38z1CQaB9d,Sylvanas 17 feb,2022-02-17 18:53:41.733,2022-02-17 22:22:08.385,28,Sanctum of Domination,2026-04-13T18:23:06.895262+00:00,wcl
4ydYqrjwh23fzQ1Z,2023-10-18 skip reclear,2023-10-18 17:55:39.142,2023-10-18 21:00:27.877,33,"Aberrus, the Shadowed Crucible",2026-04-12T09:56:33.161792+00:00,wcl
YfPd184vjqtFRrh6,Mythic Reclear #1 - 04-13,2026-04-13 18:10:18.867,2026-04-13 18:22:07.276,46,VS / DR / MQD,2026-04-13T18:23:06.895262+00:00,wcl
vgGjY8QRtPBKT23b,2023-03-01 skip,2023-03-01 18:53:41.396,2023-03-01 22:03:17.664,31,Vault of the Incarnates,2026-04-12T09:56:33.161792+00:00,wcl
nygAQKkaVYH8CPmc,2022-12-19 Raszageth,2022-12-19 18:56:17.635,2022-12-19 22:14:08.811,31,Vault of the Incarnates,2026-04-12T09:56:33.161792+00:00,wcl
Xa6gy4vLwt197xVd,Hunting the Hunters (so original) 10-06,2025-10-06 17:45:01.262,2025-10-06 20:58:28.459,44,Manaforge Omega,2026-04-13T18:23:06.895262+00:00,wcl
pRyf4YZXQTkatFM3,Fatescribe 22 nov,2021-11-22 19:19:12.097,2021-11-22 21:10:16.462,28,Sanctum of Domination,2026-04-13T18:23:06.895262+00:00,wcl
28qFvPdxwz64jCpk,CASTLE NATHRIA GONE,2021-10-07 20:18:55.593,2021-10-07 21:42:27.945,26,Castle Nathria,2026-04-13T18:23:06.895262+00:00,wcl
kzD1MmaqpNWPhtL4,2023-10-25 reclear,2023-10-25 18:56:49.459,2023-10-25 21:09:12.955,33,"Aberrus, the Shadowed Crucible",2026-04-12T09:56:33.161792+00:00,wcl
MjTcF2n9JvXRfPwY,GigaGizmo pt 2 from guardian,2021-08-08 20:36:20.182,2021-08-08 21:54:14.598,28,Sanctum of Domination,2026-04-12T09:56:33.161792+00:00,wcl
KFmjtrGbqvdVTpfJ,Sylvanas 9 feb,2022-02-09 19:20:40.577,2022-02-09 22:08:09.474,28,Sanctum of Domination,2026-04-13T18:23:06.895262+00:00,wcl
MbAYL1vNncGDxk4t,16 may artificer,2022-05-16 17:49:14.648,2022-05-16 21:04:12.319,29,Sepulcher of the First Ones,2026-04-13T18:23:06.895262+00:00,wcl
DwhcVRGkQtCAag2b,It's the final Dimdown - 01-12,2026-01-12 18:45:42.055,2026-01-12 21:59:11.601,44,Manaforge Omega,2026-04-12T09:56:33.161792+00:00,wcl
zqkGmd2x3JFrMH6P,2023-02-15 reclear into dathea,2023-02-15 19:05:11.612,2023-02-15 21:53:25.052,31,Vault of the Incarnates,2026-04-12T09:56:33.161792+00:00,wcl
L31rt6vbmkJHpQqy,Hey It's Me Linus,2023-03-06 18:53:40.227,2023-03-06 21:41:40.889,31,Vault of the Incarnates,2026-04-12T09:56:33.161792+00:00,wcl
DAQn38bGZFdRT67j,Locken Progen 05-05,2025-05-05 17:45:53.362,2025-05-05 21:00:39.730,42,Liberation of Undermine,2026-04-12T09:56:33.161792+00:00,wcl
YxAtHb2X9VmBK1dy,2023-03-06 last pulls,2023-03-06 21:43:14.356,2023-03-06 22:00:02.579,31,Vault of the Incarnates,2026-04-12T09:56:33.161792+00:00,wcl
jQGNw4YCkxbfhXJL,NO I MEAN IT THIS IS WHERE QUEEN DIES 03-03,2025-03-03 18:55:08.980,2025-03-03 21:59:57.706,38,Nerub-ar Palace,2026-04-13T18:23:06.895262+00:00,wcl
YbCwpaTym8PqL21B,Skippy Wippy into Mythy Wythy,2023-12-13 18:54:36.817,2023-12-13 22:14:24.875,35,"Amirdrassil, the Dream's Hope",2026-04-12T09:56:33.161792+00:00,wcl
MCpVWw1yfhQmTZa6,Heroic Reclear for Funsies Tee Hee - 07-30,2025-07-30 17:49:34.635,2025-07-30 19:33:52.115,42,Liberation of Undermine,2026-04-12T09:56:33.161792+00:00,wcl
cb6aVy4NDKAnLr3J,Last Full Heroic? Maybe? Idk - 0326,2025-03-26 18:48:53.822,2025-03-26 21:58:58.393,42,Liberation of Undermine,2026-04-12T09:56:33.161792+00:00,wcl
PmBRyhNF8jtaMGWf,hc sylvanas,2022-08-15 18:03:45.648,2022-08-15 18:48:43.690,28,Sanctum of Domination,2026-04-13T18:23:06.895262+00:00,wcl
87MV91B46cFgJCaA,Mythic reclear,2021-09-22 18:12:54.175,2021-09-22 21:03:46.846,28,Sanctum of Domination,2026-04-13T18:23:06.895262+00:00,wcl
NJMDKFdYXnmgBkqZ,MYTHIC,2021-03-24 20:30:36.525,2021-03-24 22:30:18.890,26,Castle Nathria,2026-04-13T18:23:06.895262+00:00,wcl
ZB69zMJX4v3pHkxC,Reclear,2021-03-10 19:13:17.638,2021-03-11 01:12:00.153,26,Castle Nathria,2026-04-12T09:56:33.161792+00:00,wcl
J9ymRGtL1khF2NVc,Sylvanas 31 jan,2022-01-31 18:55:57.015,2022-01-31 22:01:31.448,28,Sanctum of Domination,2026-04-13T18:23:06.895262+00:00,wcl
XN3BmRdHCfcVn4hZ,Full HC reclear,2021-08-25 18:15:44.809,2021-08-25 21:07:17.592,28,Sanctum of Domination,2026-04-12T09:56:33.161792+00:00,wcl
NVxpHKFTqn7DLYA4,Mythic reclear,2021-03-15 19:21:21.794,2021-03-15 22:24:15.103,26,Castle Nathria,2026-04-12T09:56:33.161792+00:00,wcl
7zwaXZkBdn98DRYM,CN Normal,2021-02-07 18:44:57.622,2021-02-07 19:52:12.956,26,Castle Nathria,2026-04-13T18:23:06.895262+00:00,wcl
pQ3XwyPgjnKRNAHc,Raz v2 blu,2023-04-25 05:07:09.278,2023-04-25 05:16:09.778,31,Vault of the Incarnates,2026-04-13T18:23:06.895262+00:00,wcl
NBZdmPaTkAWxyMnr,Castle Nathria,2021-02-03 19:01:29.264,2021-02-03 20:32:05.242,26,Castle Nathria,2026-04-13T18:23:06.895262+00:00,wcl
YZjgTM28trh47WvF,DEMON run,2021-08-29 18:51:37.932,2021-08-29 21:06:08.599,28,Sanctum of Domination,2026-04-12T09:56:33.161792+00:00,wcl
qkg4MK86VWy9hwB1,hc painsmith,2021-07-19 18:21:31.173,2021-07-19 21:11:31.931,28,Sanctum of Domination,2026-04-13T18:23:06.895262+00:00,wcl
pFXAZdVQRn1D3Yxy,2025-07-07 gally,2025-07-07 17:46:19.348,2025-07-07 20:59:04.035,42,Liberation of Undermine,2026-04-12T09:56:33.161792+00:00,wcl
RqBF9J8d7jKzpVDM,MUGZEE DIES TONIGHT - 0630,2025-06-30 17:25:28.698,2025-06-30 20:58:50.298,42,Liberation of Undermine,2026-04-12T09:56:33.161792+00:00,wcl
dJDYmB9VrwFQj6PZ,Aberrussy 12-06,2024-06-12 18:00:18.862,2024-06-12 19:25:06.022,33,"Aberrus, the Shadowed Crucible",2026-04-13T18:23:06.895262+00:00,wcl
