report_code,fight_id,boss_name,encounter_id,difficulty,difficulty_label,zone_id,zone_name,duration_ms,role,actor_id,player_name,player_class,spec,avg_item_level,potion_use,healthstone_use,crit_rating,haste_rating,mastery_rating,versatility_rating,_ingested_at
GxYm9Td8tZLQHXpF,10,Igira the Cruel,2709,4,Heroic,35,"Amirdrassil, the Dream's Hope",159736,dps,5,Wingseb,Paladin,Retribution,519.0,0,0,3807,4906,5799,5525,2026-04-13T00:10:22.936577+00:00
GxYm9Td8tZLQHXpF,41,Fyrakk the Blazing,2677,4,Heroic,35,"Amirdrassil, the Dream's Hope",388999,dps,6,Codders,Mage,Fire,507.0,0,0,2193,7470,5079,4073,2026-04-13T00:10:22.936577+00:00
B1pRfaPD2WLN3g4k,1,The Tarragrue,2423,4,Heroic,28,Sanctum of Domination,291294,dps,14,Phazex,Rogue,Assassination,232.0,0,0,577,562,285,418,2026-04-13T00:10:22.936577+00:00
3QhvWxKCZ6RXTtrp,1,The Tarragrue,2423,5,Mythic,28,Sanctum of Domination,196395,dps,13,Xariall,Druid,Balance,254.0,0,0,359,705,823,316,2026-04-13T00:10:22.936577+00:00
HhpVC8qWDKvBXamA,43,Chrome King Gallywix,3016,3,Normal,42,Liberation of Undermine,345389,dps,18,Blackóút,Shaman,Enhancement,639.0,0,0,2822,20920,17112,1835,2026-04-13T00:10:22.936577+00:00
3jdNx68m2VJgzQaB,8,The Tarragrue,2423,5,Mythic,28,Sanctum of Domination,256110,dps,7,Loafulevil,Warrior,Arms,243.0,0,0,861,387,400,517,2026-04-13T00:10:22.936577+00:00
7Fxrt1PH8gnXVjRw,36,Raszageth the Storm-Eater,2607,4,Heroic,31,Vault of the Incarnates,464172,dps,15,Gigacodders,DemonHunter,Havoc,488.0,0,0,7161,2890,3061,5204,2026-04-13T00:10:22.936577+00:00
8tYPZQ1394bBzw6H,4,"Dausegne, the Fallen Oracle",2540,4,Heroic,29,Sepulcher of the First Ones,266540,dps,1,Elfeyes,Hunter,Marksmanship,259.0,0,0,706,474,726,364,2026-04-13T00:10:22.936577+00:00
6xP4Z9y3pVzBKbAw,24,"Sikran, Captain of the Sureki",2898,5,Mythic,38,Nerub-ar Palace,260983,dps,20,Hobbyalkis,Rogue,Assassination,625.0,0,0,7458,10213,20406,1114,2026-04-13T00:10:22.936577+00:00
DFANHypwvLTzfWaQ,26,Sprocketmonger Lockenstock,3013,4,Heroic,42,Liberation of Undermine,265710,dps,25,Enjiie,DemonHunter,Havoc,654.0,0,0,23648,6128,7631,6136,2026-04-13T00:10:22.936577+00:00
4bKvXBadLyxWMtYf,68,"Larodar, Keeper of the Flame",2731,4,Heroic,35,"Amirdrassil, the Dream's Hope",251809,dps,13,Portsmouth,Mage,Frost,462.0,0,0,1981,4693,5012,2841,2026-04-13T00:10:22.936577+00:00
Gk17VY4vnRtyhQcF,37,Magmorax,2683,4,Heroic,33,"Aberrus, the Shadowed Crucible",221411,dps,55,Temra,Warlock,Demonology,422.0,0,0,2779,4947,2621,1898,2026-04-13T00:10:22.936577+00:00
Gk17VY4vnRtyhQcF,37,Magmorax,2683,4,Heroic,33,"Aberrus, the Shadowed Crucible",221411,dps,57,Pangbruden,Hunter,BeastMastery,414.0,0,0,2495,3208,2494,607,2026-04-13T00:10:22.936577+00:00
GBCwct9Q8XHMNfxn,42,Fallen-King Salhadaar,3179,4,Heroic,46,VS / DR / MQD,316227,dps,19,Bpd,Warlock,Destruction,255.0,0,0,478,689,718,58,2026-04-13T00:10:22.936577+00:00
pZ974Mvqz1tLw6jF,1,The Tarragrue,2423,3,Normal,28,Sanctum of Domination,200743,dps,2,Zerodrama,Warrior,Arms,241.0,0,0,725,637,447,353,2026-04-13T00:10:22.936577+00:00
jAzxMfZcKdrQT8Yy,27,Broodtwister Ovi'nax,2919,4,Heroic,38,Nerub-ar Palace,303245,dps,206,Lazlow,Warlock,Destruction,628.0,0,0,10518,15581,11189,2394,2026-04-13T00:10:22.936577+00:00
qCWyGR9YJbgjdA8B,1,"Dimensius, the All-Devouring",3135,3,Normal,44,Manaforge Omega,470390,dps,16,Sixteen,Warrior,Arms,720.0,0,0,26375,23769,3976,818,2026-04-13T00:10:22.936577+00:00
twn3R47hpGjBDHya,5,Igira the Cruel,2709,4,Heroic,35,"Amirdrassil, the Dream's Hope",170368,dps,20,Ollieyay,DeathKnight,Unholy,480.0,0,0,2461,5366,6011,1275,2026-04-13T00:10:22.936577+00:00
B1pRfaPD2WLN3g4k,7,Remnant of Ner'zhul,2432,4,Heroic,28,Sanctum of Domination,275661,dps,4,Lickprick,Warrior,Arms,226.0,0,0,612,559,499,205,2026-04-13T00:10:22.936577+00:00
AmWFQD1kV7xLHBaT,51,Volcoross,2737,4,Heroic,35,"Amirdrassil, the Dream's Hope",128730,dps,23,Unrecorded,Mage,Fire,507.0,0,0,3585,5970,2786,4232,2026-04-13T00:10:22.936577+00:00
AmWFQD1kV7xLHBaT,28,"Nymue, Weaver of the Cycle",2708,3,Normal,35,"Amirdrassil, the Dream's Hope",100642,dps,16,Clomp,Mage,Frost,502.0,0,0,7963,4588,3544,4654,2026-04-13T00:10:22.936577+00:00
F3LNgB27kpPG4xmz,7,Plexus Sentinel,3129,5,Mythic,44,Manaforge Omega,314785,dps,51,Hobbyalkis,Rogue,Assassination,714.0,0,0,20284,5903,21449,6252,2026-04-13T00:10:22.936577+00:00
9WCTwGtmkvpLVJzx,32,Rik Reverb,3011,5,Mythic,42,Liberation of Undermine,360257,dps,31,Ashyminge,Mage,Fire,667.0,0,0,3237,25687,9642,7845,2026-04-13T00:10:22.936577+00:00
