report_code,fight_id,encounter_id,encounter_name,difficulty,fight_size,role,player_name,player_class,spec,amount,rank_percent,bracket_percent,rank_string,total_parses
m9cJdtFn4DpwGZYC,85,2685,Scalecommander Sarkareth,4,21,tank,Lenus,DemonHunter,Vengeance,145133.3681674,81.0,96.0,~478,2521
krWfYxvJPmMq8GR6,5,2529,Halondrus the Reclaimer,3,21,tank,Freshrune,DeathKnight,Blood,3807.3007307369,77.0,43.0,~2524,10975
kRH7K3ajVbG24hCP,19,2544,Prototype Pantheon,3,22,tank,Freshrune,DeathKnight,Blood,4298.5428709545,55.0,23.0,~2446,5437
NzfPQx7vqTkLmtFM,19,3016,Chrome King Gallywix,4,22,tank,Cherven,DeathKnight,Blood,1385979.2263593,83.0,79.0,~2021,11890
jDyK1NBMdbZmnrfH,6,2429,The Nine,3,14,tank,Peeporagin,Warrior,Protection,1993.1638087351,6.0,73.0,~2706,2879
z3G2QJvRjaF8NY46,18,2434,Soulrender Dormazain,4,12,tank,Mechanose,DeathKnight,Blood,3975.4510277841,3.0,4.0,~2556,2636
NBZdmPaTkAWxyMnr,11,2398,Shriekwing,5,20,tank,Bashin,Warrior,Protection,1018.3651210918,1.0,19.0,~2091,2113
4ygtXrDWwhcTNPGp,30,2920,Nexus-Princess Ky'veza,4,24,tank,Deredeemer,Paladin,Protection,248479.74228374,18.0,35.0,~17119,20878
YZgXMmtv4GLQyNTd,36,3132,Forgeweaver Araz,3,22,tank,Lenus,DemonHunter,Vengeance,1815528.2859192,85.0,83.0,~517,3447
cWw94yCA2QKXx1nR,29,2433,The Eye of the Jailer,3,10,tank,Leanus,Druid,Guardian,1758.7936301944,70.0,48.0,~885,2950
xAtmGz1jHrBpNKn7,15,2383,Hungering Destroyer,4,14,tank,Wackya,Warrior,Protection,1442.3602137907,10.0,17.0,~5670,6301
TwA2vc9HYDabkLZj,83,3133,Fractillus,4,21,tank,Brickyd,Warrior,Protection,2358119.3190016,87.0,73.0,~513,3953
yHBRMf9q1tNhAdJY,6,2820,Gnarlroot,4,28,tank,Lenus,DemonHunter,Vengeance,158492.14157254,97.0,87.0,~431,14394
pMZYA9mPNJhX8vFy,7,3010,Cauldron of Carnage,4,23,tank,Cherven,DeathKnight,Blood,1445888.9850682,88.0,37.0,~1223,10196
XPxY1LmTpQ8zJAMK,23,2432,Remnant of Ner'zhul,4,26,tank,Leanus,Druid,Guardian,4122.0522690851,92.0,83.0,~598,7487
q4ZwLAfXd2FhVxkW,7,2820,Gnarlroot,4,23,tank,Leanus,Druid,Guardian,124607.25130063,80.0,91.0,~1570,7854
jhCYADc9HJKqf3mN,38,2399,Sludgefist,4,16,tank,Eloodh,DemonHunter,Vengeance,1913.4091651361,17.0,49.0,~15694,18909
