report_code,player_name,presence,player_class,_ingested_at,presence_status,zone_id,zone_name,report_start_utc,raid_night_date
WX8mzc1jdgJ3QDMr,Retball,1,Paladin,2026-04-13T00:10:22.936577+00:00,present,28,Sanctum of Domination,2021-07-12 18:14:09.183,2021-07-12
QPNj7L31FRBfCTX9,Lenus,1,DemonHunter,2026-04-12T09:56:33.161792+00:00,present,38,Nerub-ar Palace,2025-02-19 18:41:40.721,2025-02-19
YZgXMmtv4GLQyNTd,Garsias,1,Shaman,2026-04-13T18:23:06.895262+00:00,present,44,Manaforge Omega,2025-08-13 17:41:34.504,2025-08-13
BfWcKMdxybL1j9P7,Enjiie,1,DemonHunter,2026-04-13T18:23:06.895262+00:00,present,42,Liberation of Undermine,2025-06-09 17:44:24.768,2025-06-09
rDM1AxNBGFPmLn98,Oyder,1,Mage,2026-04-12T12:14:44.462185+00:00,present,44,Manaforge Omega,2025-09-29 17:59:57.775,2025-09-29
Dp7GaWQPCmVdgFXw,Zrenak,1,Shaman,2026-04-12T12:14:44.462185+00:00,present,29,Sepulcher of the First Ones,2022-03-28 17:51:11.991,2022-03-28
7RQ6VTPhYmfg3BL8,Superfan,1,Shaman,2026-04-12T12:14:44.462185+00:00,present,29,Sepulcher of the First Ones,2022-03-07 18:21:05.721,2022-03-07
Vby9x6hBLHt1Wmp3,Zrenak,1,Shaman,2026-04-12T12:14:44.462185+00:00,present,28,Sanctum of Domination,2022-02-22 18:48:03.137,2022-02-22
dgxaXkbCN8zD6YFQ,Mistífy,1,Rogue,2026-04-12T12:14:44.462185+00:00,present,28,Sanctum of Domination,2021-11-29 19:14:17.337,2021-11-29
JcC7yrZz4Kht9MxP,Bexx,1,Druid,2026-04-12T09:56:33.161792+00:00,present,28,Sanctum of Domination,2021-09-22 18:09:47.653,2021-09-22
MmRDF19adtywp6Kx,Leanus,1,Druid,2026-04-12T09:56:33.161792+00:00,present,26,Castle Nathria,2022-08-29 17:57:30.183,2022-08-29
VGw1WQk3FpAbTmJC,Hobbyalkis,1,Rogue,2026-04-12T09:56:33.161792+00:00,present,29,Sepulcher of the First Ones,2022-08-22 18:01:02.953,2022-08-22
Y4dkJA8rghb7ajN9,Hejnus,1,Shaman,2026-04-12T09:56:33.161792+00:00,present,33,"Aberrus, the Shadowed Crucible",2023-09-13 17:58:36.268,2023-09-13
c2yvLnA14dPGgpW6,Olliejay,1,Paladin,2026-04-12T09:56:33.161792+00:00,present,33,"Aberrus, the Shadowed Crucible",2023-08-21 17:56:24.054,2023-08-21
rjmDBT8bzWtf4dnN,Magicwingers,1,Evoker,2026-04-12T09:56:33.161792+00:00,present,33,"Aberrus, the Shadowed Crucible",2023-07-19 17:53:50.058,2023-07-19
vNfJFDBnwhcQx93X,Retball,1,Paladin,2026-04-13T18:23:06.895262+00:00,present,26,Castle Nathria,2021-02-07 19:58:45.121,2021-02-07
NBZdmPaTkAWxyMnr,Larssonhter,1,Hunter,2026-04-13T18:23:06.895262+00:00,present,26,Castle Nathria,2021-02-03 19:01:29.264,2021-02-03
QfKkh16zW97cV24d,Satelit,1,Paladin,2026-04-13T18:23:06.895262+00:00,present,38,Nerub-ar Palace,2024-09-29 18:02:53.882,2024-09-29
6NzHCPd9ZKDpgJ1t,Turbohot,1,Hunter,2026-04-13T18:23:06.895262+00:00,present,38,Nerub-ar Palace,2024-09-23 17:50:45.661,2024-09-23
xAtmGz1jHrBpNKn7,Alzaria,1,Priest,2026-04-13T18:23:06.895262+00:00,present,26,Castle Nathria,2021-03-21 19:18:07.800,2021-03-21
kp7MRywhXPxZFgYt,Ruuten,1,Shaman,2026-04-13T18:23:06.895262+00:00,present,26,Castle Nathria,2021-03-20 15:54:12.465,2021-03-20
kp7MRywhXPxZFgYt,Shipmate,1,Monk,2026-04-13T18:23:06.895262+00:00,present,26,Castle Nathria,2021-03-20 15:54:12.465,2021-03-20
NVxpHKFTqn7DLYA4,Eluude,1,Mage,2026-04-13T18:23:06.895262+00:00,present,26,Castle Nathria,2021-03-15 19:21:21.794,2021-03-15
d3PAtMnvbDKqFr9Y,Momobami,1,Priest,2026-04-13T18:23:06.895262+00:00,present,26,Castle Nathria,2021-02-28 20:11:32.287,2021-02-28
FHkYy4mbxQ6NKAVB,Gigasaga,1,DemonHunter,2026-04-12T12:14:44.462185+00:00,present,28,Sanctum of Domination,2021-08-11 18:01:31.914,2021-08-11
gdDvANnk314prZM7,Grets,1,Warlock,2026-04-12T12:14:44.462185+00:00,present,28,Sanctum of Domination,2021-08-04 17:51:19.328,2021-08-04
R4dZmLazQMBT2Y6n,Neyaara,1,Paladin,2026-04-13T18:23:06.895262+00:00,present,33,"Aberrus, the Shadowed Crucible",2023-06-21 17:49:52.474,2023-06-21
XRvMP8JcmQdzbxD9,Freshdemon,1,DemonHunter,2026-04-13T18:23:06.895262+00:00,present,33,"Aberrus, the Shadowed Crucible",2023-05-28 17:54:01.990,2023-05-28
fvYtVZPrkx1nb4qB,Blindmen,1,DemonHunter,2026-04-13T18:23:06.895262+00:00,present,35,"Amirdrassil, the Dream's Hope",2023-11-20 18:55:45.643,2023-11-20
jvLpYP89rzabFH3n,Roadruid,1,Druid,2026-04-13T18:23:06.895262+00:00,present,33,"Aberrus, the Shadowed Crucible",2023-10-30 19:00:03.880,2023-10-30
J342bnfxvCNgWkHQ,Enjiedk,1,DeathKnight,2026-04-12T12:14:44.462185+00:00,present,44,Manaforge Omega,2025-12-15 18:45:51.122,2025-12-15
qCWyGR9YJbgjdA8B,Cherven,1,DeathKnight,2026-04-12T12:14:44.462185+00:00,present,44,Manaforge Omega,2025-12-01 12:45:20.205,2025-12-01
NzfPQx7vqTkLmtFM,Turbohot,1,Hunter,2026-04-12T12:14:44.462185+00:00,present,42,Liberation of Undermine,2025-04-09 17:53:12.402,2025-04-09
J1QWahcLq2XGz76y,Yevie,1,Priest,2026-04-12T12:14:44.462185+00:00,present,42,Liberation of Undermine,2025-03-24 18:52:29.922,2025-03-24
MKNfxdYADmPb9Xpq,Larssonoker,1,Evoker,2026-04-12T12:14:44.462185+00:00,present,38,Nerub-ar Palace,2024-12-18 18:56:24.076,2024-12-18
GHmqkjf1C7PhVTgN,Bigboiples,1,Druid,2026-04-12T12:14:44.462185+00:00,present,38,Nerub-ar Palace,2024-11-18 18:54:06.361,2024-11-18
6zNmtTncWpZP4XR9,Needsedative,1,Hunter,2026-04-12T12:14:44.462185+00:00,present,38,Nerub-ar Palace,2024-10-30 15:23:56.234,2024-10-30
6zNmtTncWpZP4XR9,Flandreh,1,Priest,2026-04-12T12:14:44.462185+00:00,present,38,Nerub-ar Palace,2024-10-30 15:23:56.234,2024-10-30
BPKbxHWDCqcRa2L6,Bigboiples,1,Druid,2026-04-12T12:14:44.462185+00:00,present,31,Vault of the Incarnates,2024-04-24 18:04:05.734,2024-04-24
BPKbxHWDCqcRa2L6,Elpys,1,Mage,2026-04-12T12:14:44.462185+00:00,present,31,Vault of the Incarnates,2024-04-24 18:04:05.734,2024-04-24
wMtd86DnyqfQYzx1,Magicwingers,1,Evoker,2026-04-12T12:14:44.462185+00:00,present,35,"Amirdrassil, the Dream's Hope",2024-01-29 18:59:45.430,2024-01-29
JDw8GKdx637hCYy2,Retball,1,Paladin,2026-04-13T00:10:22.936577+00:00,present,28,Sanctum of Domination,2021-07-14 18:18:52.516,2021-07-14
PZDwaB7Qy6fC9rHM,Hanniel,1,Priest,2026-04-13T00:10:22.936577+00:00,present,28,Sanctum of Domination,2021-07-12 18:18:59.910,2021-07-12
WX8mzc1jdgJ3QDMr,Leanus,1,Druid,2026-04-13T00:10:22.936577+00:00,present,28,Sanctum of Domination,2021-07-12 18:14:09.183,2021-07-12
3qRkhHJ6LgXnfDBC,Crypted,1,Priest,2026-04-13T00:10:22.936577+00:00,present,26,Castle Nathria,2021-03-24 19:06:11.119,2021-03-24
84mwLTvkNh1WMY76,Yearning,1,Monk,2026-04-12T09:56:33.161792+00:00,present,38,Nerub-ar Palace,2025-02-26 20:36:35.439,2025-02-26
W7KHD1pYZwnxcRhA,Explorer,1,Paladin,2026-04-12T09:56:33.161792+00:00,present,38,Nerub-ar Palace,2025-01-27 19:02:38.770,2025-01-27
ZwdWAqyKDGXz8b7g,Televisions,1,Priest,2026-04-12T09:56:33.161792+00:00,present,38,Nerub-ar Palace,2025-01-08 18:48:10.042,2025-01-08
YZgXMmtv4GLQyNTd,Tmi,1,Warlock,2026-04-13T18:23:06.895262+00:00,present,44,Manaforge Omega,2025-08-13 17:41:34.504,2025-08-13
pFXAZdVQRn1D3Yxy,Koriekin,1,Druid,2026-04-13T18:23:06.895262+00:00,present,42,Liberation of Undermine,2025-07-07 17:46:19.348,2025-07-07
