zone_id,zone_name,zone_frozen,encounter_id,encounter_name,difficulty_names
31,Vault of the Incarnates,True,2587,Eranog,['Mythic' 'Heroic' 'Normal' 'LFR']
9,Mythic+ Dungeons,True,11492,Maw of Souls,['Dungeon']
38,Nerub-ar Palace,True,2921,The Silken Court,['Mythic' 'Heroic' 'Normal' 'LFR']
47,Mythic+ Season 1,False,112526,Algeth'ar Academy,['Dungeon']
17,"Antorus, The Burning Throne",True,2088,Kin'garoth,['Mythic' 'Heroic' 'Normal' 'LFR']
39,Mythic+ Season 1,True,12669,City of Threads,['Dungeon']
36,Mythic+ Season 3,True,12579,Dawn of the Infinite: Galakrond's Fall,['Dungeon']
4,Throne of Thunder,True,1572,Durumu the Forgotten,['Heroic' 'Normal' 'LFR']
9,Mythic+ Dungeons,True,11456,Eye of Azshara,['Dungeon']
13,Tomb of Sargeras,True,2051,Kil'jaeden,['Mythic' 'Heroic' 'Normal' 'LFR']
24,Ny'alotha,True,2329,Wrathion,['Mythic' 'Heroic' 'Normal' 'LFR']
26,Castle Nathria,True,2383,Hungering Destroyer,['Mythic' 'Heroic' 'Normal' 'LFR']
20,Mythic+ Dungeons,True,11594,The MOTHERLODE!!,['Dungeon']
43,Mythic+ Season 2,True,12773,Operation: Floodgate,['Dungeon']
8,Hellfire Citadel,True,1800,Xhul'horac,['Mythic' 'Heroic' 'Normal' 'LFR']
9,Mythic+ Dungeons,True,11501,Black Rook Hold,['Dungeon']
6,Highmaul,True,1721,Kargath Bladefist,['Mythic' 'Heroic' 'Normal' 'LFR']
29,Sepulcher of the First Ones,True,2546,Anduin Wrynn,['Mythic' 'Heroic' 'Normal' 'LFR']
44,Manaforge Omega,True,3122,The Soul Hunters,['Mythic' 'Heroic' 'Normal' 'LFR']
8,Hellfire Citadel,True,1778,Hellfire Assault,['Mythic' 'Heroic' 'Normal' 'LFR']
4,Throne of Thunder,True,1576,Dark Animus,['Heroic' 'Normal' 'LFR']
31,Vault of the Incarnates,True,2607,Raszageth the Storm-Eater,['Mythic' 'Heroic' 'Normal' 'LFR']
20,Mythic+ Dungeons,True,11763,Atal'Dazar,['Dungeon']
35,"Amirdrassil, the Dream's Hope",True,2708,"Nymue, Weaver of the Cycle",['Mythic' 'Heroic' 'Normal' 'LFR']
20,Mythic+ Dungeons,True,12097,Operation: Mechagon - Junkyard,['Dungeon']
23,The Eternal Palace,True,2293,Za'qul,['Mythic' 'Heroic' 'Normal' 'LFR']
34,Mythic+ Season 2,True,12451,Uldaman: Legacy of Tyr,['Dungeon']
46,VS / DR / MQD,False,3179,Fallen-King Salhadaar,['Mythic' 'Heroic' 'Normal' 'LFR']
30,Mythic+ Season 4,True,62098,Operation: Mechagon - Workshop,['Dungeon']
26,Castle Nathria,True,2407,Sire Denathrius,['Mythic' 'Heroic' 'Normal' 'LFR']
8,Hellfire Citadel,True,1799,Archimonde,['Mythic' 'Heroic' 'Normal' 'LFR']
28,Sanctum of Domination,True,2433,The Eye of the Jailer,['Mythic' 'Heroic' 'Normal' 'LFR']
37,Mythic+ Season 4,True,62519,Neltharus,['Dungeon']
44,Manaforge Omega,True,3135,"Dimensius, the All-Devouring",['Mythic' 'Heroic' 'Normal' 'LFR']
31,Vault of the Incarnates,True,2639,Terros,['Mythic' 'Heroic' 'Normal' 'LFR']
19,Uldir,True,2141,MOTHER,['Mythic' 'Heroic' 'Normal' 'LFR']
32,Mythic+ Season 1,True,10960,Temple of the Jade Serpent,['Dungeon']
46,VS / DR / MQD,False,3176,Imperator Averzian,['Mythic' 'Heroic' 'Normal' 'LFR']
8,Hellfire Citadel,True,1786,Kilrogg Deadeye,['Mythic' 'Heroic' 'Normal' 'LFR']
17,"Antorus, The Burning Throne",True,2092,Argus the Unmaker,['Mythic' 'Heroic' 'Normal' 'LFR']
24,Ny'alotha,True,2331,Ra-den the Despoiled,['Mythic' 'Heroic' 'Normal' 'LFR']
17,"Antorus, The Burning Throne",True,2063,Aggramar,['Mythic' 'Heroic' 'Normal' 'LFR']
34,Mythic+ Season 2,True,10657,The Vortex Pinnacle,['Dungeon']
11,The Nighthold,True,1866,Gul'dan,['Mythic' 'Heroic' 'Normal' 'LFR']
5,Siege of Orgrimmar,True,1606,Kor'kron Dark Shaman,['Mythic' 'Heroic' 'Normal' 'Flex' 'LFR']
20,Mythic+ Dungeons,True,11864,Shrine of the Storm,['Dungeon']
34,Mythic+ Season 2,True,12520,Brackenhide Hollow,['Dungeon']
36,Mythic+ Season 3,True,61763,Atal'Dazar,['Dungeon']
36,Mythic+ Season 3,True,10643,Throne of the Tides,['Dungeon']
29,Sepulcher of the First Ones,True,2512,Vigilant Guardian,['Mythic' 'Heroic' 'Normal' 'LFR']
