encounter_id,boss_name,zone_name,difficulty,difficulty_label,best_kill_seconds,avg_kill_seconds,total_kills,first_kill_date,latest_kill_date,best_kill_mm_ss
2639,Terros,Vault of the Incarnates,5,Mythic,296,343.90909090909093,11,2023-01-16,2023-04-25,4m 56s
3135,"Dimensius, the All-Devouring",Manaforge Omega,4,Heroic,471,471.0,1,2025-09-01,2025-09-01,7m 51s
2539,"Lihuvim, Principal Architect",Sepulcher of the First Ones,4,Heroic,183,303.6,10,2022-03-08,2022-09-12,3m 03s
2728,Council of Dreams,"Amirdrassil, the Dream's Hope",3,Normal,89,140.0,4,2023-11-15,2024-05-08,1m 29s
2922,Queen Ansurek,Nerub-ar Palace,3,Normal,238,316.2307692307692,13,2024-09-11,2024-11-03,3m 58s
3011,Rik Reverb,Liberation of Undermine,3,Normal,169,216.66666666666666,6,2025-03-05,2025-05-04,2m 49s
2689,"The Vigilant Steward, Zskarn","Aberrus, the Shadowed Crucible",5,Mythic,304,304.0,1,2023-07-24,2023-07-24,5m 04s
2824,Smolderon,"Amirdrassil, the Dream's Hope",3,Normal,104,149.0,4,2023-11-15,2024-05-08,1m 44s
2417,Stone Legion Generals,Castle Nathria,3,Normal,293,318.6,5,2021-01-31,2021-03-25,4m 53s
2529,Halondrus the Reclaimer,Sepulcher of the First Ones,4,Heroic,267,294.42857142857144,7,2022-03-23,2022-09-12,4m 27s
2921,The Silken Court,Nerub-ar Palace,4,Heroic,282,405.46153846153845,13,2024-09-17,2025-01-13,4m 42s
2402,Sun King's Salvation,Castle Nathria,3,Normal,315,315.0,1,2021-01-31,2021-01-31,5m 15s
2902,Ulgrax the Devourer,Manaforge Omega,5,Mythic,42,42.0,1,2026-01-26,2026-01-26,0m 42s
2422,Kel'Thuzad,Sanctum of Domination,3,Normal,361,419.75,4,2021-08-08,2021-09-02,6m 01s
2920,Nexus-Princess Ky'veza,Nerub-ar Palace,3,Normal,118,177.07142857142858,14,2024-09-11,2024-11-03,1m 58s
2689,"The Vigilant Steward, Zskarn","Aberrus, the Shadowed Crucible",4,Heroic,132,192.71428571428572,7,2023-05-15,2024-06-12,2m 12s
2737,Volcoross,"Amirdrassil, the Dream's Hope",3,Normal,74,113.25,4,2023-11-15,2024-05-08,1m 14s
3132,Forgeweaver Araz,Manaforge Omega,4,Heroic,248,326.14285714285717,7,2025-08-18,2025-12-01,4m 08s
2919,Broodtwister Ovi'nax,Nerub-ar Palace,3,Normal,143,183.5,14,2024-09-11,2024-11-03,2m 23s
2402,Sun King's Salvation,Castle Nathria,5,Mythic,295,305.25,4,2021-03-01,2021-03-31,4m 55s
2430,Painsmith Raznal,Sanctum of Domination,5,Mythic,426,426.0,1,2021-11-01,2021-11-01,7m 06s
3014,One-Armed Bandit,Liberation of Undermine,4,Heroic,165,241.31578947368422,19,2025-03-17,2025-07-30,2m 45s
