encounter_id,boss_name,zone_name,difficulty,difficulty_label,raid_night_date,report_code,report_title,start_time_utc,end_time_utc,pulls_on_night,kills_on_night,wipes_on_night,best_wipe_pct_on_night,avg_wipe_pct_on_night,best_boss_hp_remaining,is_kill_on_night,kill_duration_seconds,longest_pull_seconds
2407,Sire Denathrius,Castle Nathria,4,Heroic,2021-01-25,24M6G9yKnQf8tRqN,Castle Nathria,2021-01-25T18:53:30.409Z,2021-01-25T22:25:05.118Z,22,1,21,2.87,33.09,0.0,true,478,547
2402,Sun King's Salvation,Castle Nathria,4,Heroic,2021-01-27,jDmXP2rK8bnBxqGM,Castle Nathria HC Reclear,2021-01-27T18:54:46.616Z,2021-01-27T22:33:04.944Z,1,1,0,null,null,0.0,true,401,401
2412,The Council of Blood,Castle Nathria,4,Heroic,2021-01-27,jDmXP2rK8bnBxqGM,Castle Nathria HC Reclear,2021-01-27T18:54:46.616Z,2021-01-27T22:33:04.944Z,1,1,0,null,null,0.0,true,388,388
2383,Hungering Destroyer,Castle Nathria,4,Heroic,2021-01-27,jDmXP2rK8bnBxqGM,Castle Nathria HC Reclear,2021-01-27T18:54:46.616Z,2021-01-27T22:33:04.944Z,1,1,0,null,null,0.0,true,236,236
2398,Shriekwing,Castle Nathria,4,Heroic,2021-01-27,jDmXP2rK8bnBxqGM,Castle Nathria HC Reclear,2021-01-27T18:54:46.616Z,2021-01-27T22:33:04.944Z,1,1,0,null,null,0.0,true,212,212
2405,Artificer Xy'mox,Castle Nathria,4,Heroic,2021-01-27,jDmXP2rK8bnBxqGM,Castle Nathria HC Reclear,2021-01-27T18:54:46.616Z,2021-01-27T22:33:04.944Z,1,1,0,null,null,0.0,true,277,277
2417,Stone Legion Generals,Castle Nathria,4,Heroic,2021-01-27,jDmXP2rK8bnBxqGM,Castle Nathria HC Reclear,2021-01-27T18:54:46.616Z,2021-01-27T22:33:04.944Z,1,1,0,null,null,0.0,true,475,475
2407,Sire Denathrius,Castle Nathria,4,Heroic,2021-01-27,jDmXP2rK8bnBxqGM,Castle Nathria HC Reclear,2021-01-27T18:54:46.616Z,2021-01-27T22:33:04.944Z,9,0,9,7.0,33.5,7.0,false,null,491
2406,Lady Inerva Darkvein,Castle Nathria,4,Heroic,2021-01-27,jDmXP2rK8bnBxqGM,Castle Nathria HC Reclear,2021-01-27T18:54:46.616Z,2021-01-27T22:33:04.944Z,1,1,0,null,null,0.0,true,262,262
2399,Sludgefist,Castle Nathria,4,Heroic,2021-01-27,jDmXP2rK8bnBxqGM,Castle Nathria HC Reclear,2021-01-27T18:54:46.616Z,2021-01-27T22:33:04.944Z,2,1,1,86.56,86.56,0.0,true,312,312
2418,Huntsman Altimor,Castle Nathria,4,Heroic,2021-01-27,jDmXP2rK8bnBxqGM,Castle Nathria HC Reclear,2021-01-27T18:54:46.616Z,2021-01-27T22:33:04.944Z,2,1,1,32.01,32.01,0.0,true,273,273
2402,Sun King's Salvation,Castle Nathria,3,Normal,2021-01-31,Q3pA2CygFaJ46VBh,CN Mythic,2021-01-31T19:07:19.762Z,2021-01-31T21:20:48.418Z,1,1,0,null,null,0.0,true,315,315
2412,The Council of Blood,Castle Nathria,3,Normal,2021-01-31,Q3pA2CygFaJ46VBh,CN Mythic,2021-01-31T19:07:19.762Z,2021-01-31T21:20:48.418Z,1,1,0,null,null,0.0,true,334,334
