name,player_class,realm,rank,rank_label,rank_category,is_raid_team,is_active,total_raids_tracked,raids_present,attendance_rate_pct,last_raid_date,first_raid_date
Beckiebtec,Monk,twisting-nether,9,Social,Social,False,False,0,0,0.0,,
Biglade,Warrior,twisting-nether,9,Social,Social,False,True,2,2,100.0,2025-07-30,2025-07-30
Wetwarrior,Warrior,twisting-nether,9,Social,Social,False,False,0,0,0.0,,
Aideen,Warlock,twisting-nether,6,Raider Alt,Raider Alt,False,True,27,27,100.0,2025-02-10,2024-09-11
Hidez,Rogue,twisting-nether,9,Social,Social,False,False,0,0,0.0,,
Sophiebae,Monk,twisting-nether,9,Social,Social,False,True,3,3,100.0,2021-09-02,2021-08-29
Xinxao,Monk,twisting-nether,9,Social,Social,False,False,0,0,0.0,,
Lisawicsz,Priest,twisting-nether,6,Raider Alt,Raider Alt,False,False,0,0,0.0,,
Bulkfarsan,Warrior,twisting-nether,9,Social,Social,False,False,0,0,0.0,,
Juiciest,Hunter,twisting-nether,9,Social,Social,False,False,0,0,0.0,,
Smileploxx,Hunter,twisting-nether,9,Social,Social,False,True,13,13,100.0,2021-09-03,2021-02-07
Fireraizel,Mage,twisting-nether,9,Social,Social,False,True,8,8,100.0,2021-04-07,2021-01-27
Lornokin,Druid,twisting-nether,9,Social,Social,False,False,0,0,0.0,,
Waka,Shaman,turalyon,9,Social,Social,False,True,3,3,100.0,2025-03-23,2024-10-27
Larssonogue,Rogue,twisting-nether,9,Social,Social,False,True,1,1,100.0,2024-11-24,2024-11-24
Barkturia,Druid,silvermoon,9,Social,Social,False,False,0,0,0.0,,
Norgesfinest,Rogue,twisting-nether,6,Raider Alt,Raider Alt,False,False,0,0,0.0,,
Akitype,Druid,ravencrest,9,Social,Social,False,True,1,1,100.0,2024-11-24,2024-11-24
Shmimishmimi,Druid,silvermoon,6,Raider Alt,Raider Alt,False,True,1,1,100.0,2025-07-06,2025-07-06
Gretty,Warrior,twisting-nether,9,Social,Social,False,False,0,0,0.0,,
Lisicata,Druid,sylvanas,9,Social,Social,False,True,2,2,100.0,2025-03-25,2025-03-16
Silliest,Hunter,kazzak,9,Social,Social,False,True,1,1,100.0,2024-10-06,2024-10-06
Lauur,Mage,twisting-nether,7,Bestie,Bestie,False,False,0,0,0.0,,
Yevios,Hunter,twisting-nether,3,Officer Alt,Officer,True,False,0,0,0.0,,
Axhindor,Death Knight,twisting-nether,9,Social,Social,False,False,0,0,0.0,,
Indiex,Demon Hunter,twisting-nether,9,Social,Social,False,False,0,0,0.0,,
Krutgubbe,Warlock,twisting-nether,9,Social,Social,False,False,0,0,0.0,,
Nobinminge,Warrior,twisting-nether,7,Bestie,Bestie,False,True,9,9,100.0,2024-10-23,2024-09-29
Rumimae,Demon Hunter,twisting-nether,9,Social,Social,False,False,0,0,0.0,,
Temiti,Druid,twisting-nether,3,Officer Alt,Officer,True,True,2,2,100.0,2026-03-23,2026-03-18
Noncestomper,Paladin,twisting-nether,9,Social,Social,False,False,0,0,0.0,,
Zogy,Death Knight,twisting-nether,9,Social,Social,False,False,0,0,0.0,,
Lenus,Demon Hunter,twisting-nether,2,Officer,Officer,True,True,270,270,100.0,2026-04-13,2022-12-18
Crustygems,Mage,twisting-nether,3,Officer Alt,Officer,True,True,1,1,100.0,2024-10-23,2024-10-23
Flamegrinder,Mage,twisting-nether,9,Social,Social,False,True,4,4,100.0,2022-12-21,2022-12-14
Pappaspray,Hunter,twisting-nether,9,Social,Social,False,False,0,0,0.0,,
Lunars,Druid,twisting-nether,9,Social,Social,False,False,0,0,0.0,,
Infernie,Warlock,twisting-nether,9,Social,Social,False,False,0,0,0.0,,
Ollieyay,Death Knight,twisting-nether,7,Bestie,Bestie,False,True,71,71,100.0,2025-05-12,2023-09-25
Prôdí,Priest,ravencrest,9,Social,Social,False,False,0,0,0.0,,
Rizzolisa,Mage,silvermoon,9,Social,Social,False,False,0,0,0.0,,
Whacky,Hunter,twisting-nether,9,Social,Social,False,True,1,1,100.0,2025-03-05,2025-03-05
Zephers,Paladin,wildhammer,9,Social,Social,False,False,0,0,0.0,,
Imwinter,Paladin,twisting-nether,9,Social,Social,False,False,0,0,0.0,,
Peearr,Warrior,twisting-nether,6,Raider Alt,Raider Alt,False,False,0,0,0.0,,
Spaghettioz,Demon Hunter,ravencrest,9,Social,Social,False,False,0,0,0.0,,
Everrin,Evoker,twisting-nether,5,Raider,Raider,True,True,9,9,100.0,2026-04-13,2026-03-18
Roague,Rogue,twisting-nether,9,Social,Social,False,True,11,11,100.0,2023-02-26,2021-09-02
Edarn,Mage,twisting-nether,6,Raider Alt,Raider Alt,False,True,1,1,100.0,2024-12-29,2024-12-29
Sanctifiy,Paladin,twisting-nether,9,Social,Social,False,False,0,0,0.0,,
