player_name,player_class,total_raids_tracked,raids_present,raids_benched,raids_absent,last_raid_date,first_raid_date,zones_attended,attendance_rate_pct
Hrøøthgar,Warrior,1,1,0,0,2024-09-17,2024-09-17,"[""Nerub-ar Palace""]",100.0
Brageuroo,Mage,1,1,0,0,2023-12-27,2023-12-27,"[""Amirdrassil, the Dream's Hope""]",100.0
Chardadot,Druid,1,1,0,0,2025-12-01,2025-12-01,"[""Manaforge Omega""]",100.0
Snich,Warrior,1,1,0,0,2024-09-17,2024-09-17,"[""Nerub-ar Palace""]",100.0
Ilybrew,Monk,5,5,0,0,2023-05-24,2023-05-10,"[""Aberrus, the Shadowed Crucible""]",100.0
Loserboy,Shaman,1,1,0,0,2025-12-01,2025-12-01,"[""Manaforge Omega""]",100.0
Sachro,Paladin,1,1,0,0,2022-03-23,2022-03-23,"[""Sepulcher of the First Ones""]",100.0
Zeo,Priest,3,3,0,0,2021-03-07,2021-02-28,"[""Castle Nathria""]",100.0
Mortales,DeathKnight,1,1,0,0,2024-09-17,2024-09-17,"[""Nerub-ar Palace""]",100.0
Bashin,Warrior,34,34,0,0,2021-04-05,2021-01-27,"[""Castle Nathria""]",100.0
Waka,Shaman,3,3,0,0,2025-03-23,2024-10-27,"[""Blackrock Depths"",""Liberation of Undermine""]",100.0
Biiface,Mage,15,15,0,0,2023-02-06,2022-12-14,"[""Vault of the Incarnates""]",100.0
Larssondk,DeathKnight,35,35,0,0,2025-09-15,2023-01-18,"[""Aberrus, the Shadowed Crucible"",""Nerub-ar Palace"",""Vault of the Incarnates"",""Manaforge Omega""]",100.0
Mazìkeenqt,Warrior,1,1,0,0,2024-09-17,2024-09-17,"[""Nerub-ar Palace""]",100.0
Aceyl,Mage,1,1,0,0,2021-03-10,2021-03-10,"[""Castle Nathria""]",100.0
Lornotastic,Priest,2,2,0,0,2023-07-05,2023-05-21,"[""Aberrus, the Shadowed Crucible""]",100.0
Swerdon,DeathKnight,1,1,0,0,2025-12-01,2025-12-01,"[""Manaforge Omega""]",100.0
Marianczelo,Paladin,1,1,0,0,2024-01-24,2024-01-24,"[""Amirdrassil, the Dream's Hope""]",100.0
Alienso,Mage,1,1,0,0,2021-03-28,2021-03-28,"[""Castle Nathria""]",100.0
Shamanozza,Shaman,1,1,0,0,2021-03-25,2021-03-25,"[""Castle Nathria""]",100.0
Betonkakokos,Druid,1,1,0,0,2021-03-28,2021-03-28,"[""Castle Nathria""]",100.0
Spatzz,Hunter,2,2,0,0,2021-03-21,2021-03-21,"[""Castle Nathria""]",100.0
Nurribit,Mage,1,1,0,0,2025-07-06,2025-07-06,"[""Liberation of Undermine""]",100.0
Kirasagi,Druid,1,1,0,0,2021-09-02,2021-09-02,"[""Sanctum of Domination""]",100.0
Kerpmage,Mage,2,2,0,0,2021-03-14,2021-03-14,"[""Castle Nathria""]",100.0
Fermadigo,Druid,1,1,0,0,2024-10-30,2024-10-30,"[""Nerub-ar Palace""]",100.0
Hexsuss,Warlock,1,1,0,0,2024-10-30,2024-10-30,"[""Nerub-ar Palace""]",100.0
Frostfury,Mage,1,1,0,0,2024-09-17,2024-09-17,"[""Nerub-ar Palace""]",100.0
Bexx,Druid,53,53,0,0,2022-01-12,2021-04-04,"[""Castle Nathria"",""Sanctum of Domination""]",100.0
Goldentusker,Unknown,1,1,0,0,2021-08-10,2021-08-10,"[""Sanctum of Domination""]",100.0
Thelix,Rogue,1,1,0,0,2021-09-03,2021-09-03,"[""Sanctum of Domination""]",100.0
Жуткаякорова,Druid,1,1,0,0,2021-03-25,2021-03-25,"[""Castle Nathria""]",100.0
Hotulolz,Druid,1,1,0,0,2021-09-03,2021-09-03,"[""Sanctum of Domination""]",100.0
Vaporize,Mage,1,1,0,0,2024-10-30,2024-10-30,"[""Nerub-ar Palace""]",100.0
Nüric,Hunter,9,9,0,0,2021-09-06,2021-07-26,"[""Sanctum of Domination""]",100.0
Emsy,Priest,3,3,0,0,2024-05-29,2021-10-07,"[""Amirdrassil, the Dream's Hope"",""Sanctum of Domination"",""Castle Nathria""]",100.0
Weakauras,Warlock,18,18,0,0,2021-07-14,2021-03-20,"[""Sanctum of Domination"",""Castle Nathria"",""Mythic+ Seasons 1 - 3""]",100.0
Worstplayr,Rogue,1,1,0,0,2021-03-12,2021-03-12,"[""Castle Nathria""]",100.0
Фцуяччц,Druid,1,1,0,0,2021-08-10,2021-08-10,"[""Sanctum of Domination""]",100.0
Bîî,Shaman,2,2,0,0,2021-07-14,2021-07-14,"[""Sanctum of Domination""]",100.0
Serthorn,Warrior,3,3,0,0,2024-10-13,2024-09-22,"[""Nerub-ar Palace""]",100.0
Ilealie,Priest,1,1,0,0,2025-12-01,2025-12-01,"[""Manaforge Omega""]",100.0
Losttauron,Shaman,1,1,0,0,2021-03-25,2021-03-25,"[""Castle Nathria""]",100.0
Ithassa,Priest,1,1,0,0,2024-09-17,2024-09-17,"[""Nerub-ar Palace""]",100.0
Noscopar,Hunter,1,1,0,0,2022-05-16,2022-05-16,"[""Sepulcher of the First Ones""]",100.0
Rainasu,DemonHunter,19,19,0,0,2022-12-14,2021-02-14,"[""Sanctum of Domination"",""Sepulcher of the First Ones"",""Vault of the Incarnates"",""Castle Nathria""]",100.0
Boyyano,Warlock,1,1,0,0,2022-08-24,2022-08-24,"[""Castle Nathria""]",100.0
Craftey,Warlock,1,1,0,0,2021-09-03,2021-09-03,"[""Sanctum of Domination""]",100.0
Jimbzo,Unknown,1,1,0,0,2021-08-10,2021-08-10,"[""Sanctum of Domination""]",100.0
Oxhorde,Druid,33,33,0,0,2024-09-29,2022-03-06,"[""Sepulcher of the First Ones"",""Sanctum of Domination"",""Nerub-ar Palace"",""Castle Nathria""]",100.0
Drfou,Unknown,1,1,0,0,2021-08-10,2021-08-10,"[""Sanctum of Domination""]",100.0
Mahá,Rogue,1,1,0,0,2021-08-10,2021-08-10,"[""Sanctum of Domination""]",100.0
Katayoon,Paladin,2,2,0,0,2021-07-14,2021-07-14,"[""Sanctum of Domination""]",100.0
Erikk,Paladin,1,1,0,0,2025-12-01,2025-12-01,"[""Manaforge Omega""]",100.0
Sangpeur,Warlock,1,1,0,0,2021-08-29,2021-08-29,"[""Sanctum of Domination""]",100.0
Eleftheria,Priest,1,1,0,0,2024-12-29,2024-12-29,"[""Nerub-ar Palace""]",100.0
Naughtynursé,Priest,1,1,0,0,2022-02-25,2022-02-25,"[""Sanctum of Domination""]",100.0
Furrydotcom,Unknown,1,1,0,0,2021-08-10,2021-08-10,"[""Sanctum of Domination""]",100.0
Clomp,Mage,131,131,0,0,2024-09-25,2021-07-19,"[""Sepulcher of the First Ones"",""Amirdrassil, the Dream's Hope"",""Aberrus, the Shadowed Crucible"",""Nerub-ar Palace"",""Vault of the Incarnates"",""Castle Nathria"",""Sanctum of Domination""]",100.0
Hofc,Druid,1,1,0,0,2021-08-29,2021-08-29,"[""Sanctum of Domination""]",100.0
Bibsw,Warrior,1,1,0,0,2022-02-25,2022-02-25,"[""Sanctum of Domination""]",100.0
Goinghaam,Warrior,1,1,0,0,2021-04-04,2021-04-04,"[""Castle Nathria""]",100.0
Bigfatherkw,Hunter,1,1,0,0,2025-12-01,2025-12-01,"[""Manaforge Omega""]",100.0
Danoox,DemonHunter,1,1,0,0,2025-12-01,2025-12-01,"[""Manaforge Omega""]",100.0
Johnwoman,DemonHunter,22,22,0,0,2024-05-13,2023-12-13,"[""Aberrus, the Shadowed Crucible"",""Amirdrassil, the Dream's Hope""]",100.0
Drvendetta,Rogue,1,1,0,0,2024-09-17,2024-09-17,"[""Nerub-ar Palace""]",100.0
Enjiie,DemonHunter,43,43,0,0,2025-07-30,2024-12-29,"[""Liberation of Undermine"",""Nerub-ar Palace""]",100.0
Verit,Hunter,1,1,0,0,2021-04-18,2021-04-18,"[""Castle Nathria""]",100.0
Bundabandit,Rogue,20,20,0,0,2024-11-13,2024-09-15,"[""Nerub-ar Palace""]",100.0
Nokehunter,Hunter,1,1,0,0,2023-06-04,2023-06-04,"[""Aberrus, the Shadowed Crucible""]",100.0
Pohjolashm,Shaman,1,1,0,0,2025-05-18,2025-05-18,"[""Liberation of Undermine""]",100.0
Skadie,Priest,1,1,0,0,2024-09-17,2024-09-17,"[""Nerub-ar Palace""]",100.0
Exodius,Druid,1,1,0,0,2024-10-23,2024-10-23,"[""Blackrock Depths""]",100.0
Sadakât,Unknown,1,1,0,0,2021-08-10,2021-08-10,"[""Sanctum of Domination""]",100.0
Foxythefox,Warlock,1,1,0,0,2022-09-14,2022-09-14,"[""Castle Nathria""]",100.0
Mellôw,Mage,1,1,0,0,2024-09-17,2024-09-17,"[""Nerub-ar Palace""]",100.0
Ninnyzplash,DemonHunter,1,1,0,0,2025-01-13,2025-01-13,"[""Nerub-ar Palace""]",100.0
Annoyance,Warlock,1,1,0,0,2021-02-07,2021-02-07,"[""Castle Nathria""]",100.0
Btrmage,Mage,1,1,0,0,2024-09-17,2024-09-17,"[""Nerub-ar Palace""]",100.0
Monthtbud,Druid,1,1,0,0,2025-05-18,2025-05-18,"[""Liberation of Undermine""]",100.0
Craazyowl,Druid,2,2,0,0,2021-03-21,2021-03-21,"[""Castle Nathria""]",100.0
Absmort,Warlock,1,1,0,0,2025-12-01,2025-12-01,"[""Manaforge Omega""]",100.0
Ruthellion,Evoker,1,1,0,0,2024-09-17,2024-09-17,"[""Nerub-ar Palace""]",100.0
Stwrithe,Warlock,7,7,0,0,2025-06-02,2025-05-12,"[""Liberation of Undermine""]",100.0
