player_name,player_class,role,spec,kills_tracked,latest_avg_item_level,latest_crit_rating,latest_haste_rating,latest_mastery_rating,latest_versatility_rating,avg_item_level,avg_crit_rating,avg_haste_rating,avg_mastery_rating,avg_versatility_rating,latest_kill_date
Abfahrer,Warlock,dps,Demonology,5,185.0,545,446,104,299,185.8,519,452,130,299,2021-03-25
Absmort,Warlock,dps,Destruction,1,665.0,13724,13406,9241,5749,665.0,13724,13406,9241,5749,2025-12-01
Acala,Mage,dps,Fire,3,211.0,289,441,647,515,211.0,289,441,599,515,2021-04-14
Actá,Rogue,dps,Assassination,5,210.0,389,598,273,562,210.0,389,598,273,562,2021-03-12
Aderie,DemonHunter,dps,Havoc,2,243.0,143,1885,332,511,243.0,220,1538,243,569,2021-09-12
Aggu,Rogue,dps,Outlaw,1,210.0,446,450,429,389,210.0,446,450,429,389,2021-03-12
Agzar,Hunter,dps,Survival,1,608.0,9640,2299,17769,4180,608.0,9640,2299,17769,4180,2024-09-17
Aideen,Warlock,dps,Affliction,64,626.0,9852,8679,17882,2242,609.0,8903,10018,12044,3494,2024-10-23
Aideen,Warlock,dps,Destruction,17,634.0,13008,14598,10999,2869,628.9,12481,12833,11349,2523,2024-12-16
Aideên,DemonHunter,dps,Havoc,24,519.0,7753,4487,3898,2237,517.7,7422,4258,3923,2485,2024-06-05
Aidreth,Priest,dps,Shadow,4,604.0,4827,11865,11398,4779,604.0,4827,12031,11398,4779,2024-09-18
Airmac,Shaman,dps,Enhancement,5,467.0,4365,2069,3871,2753,467.0,4365,2069,3871,2604,2024-01-07
Akitype,Druid,dps,Feral,7,597.0,3810,10297,7215,4392,596.7,3772,9988,7463,4485,2024-11-24
Akrovatisa,DemonHunter,dps,Havoc,2,220.0,434,589,256,550,220.0,434,589,256,535,2021-04-14
Aktais,Mage,dps,Frost,2,193.0,364,471,370,260,193.0,364,471,370,259,2021-02-07
Aktakniv,Rogue,dps,Assassination,1,213.0,535,321,596,215,213.0,535,321,596,215,2021-08-15
Alaski,Shaman,dps,Enhancement,10,627.0,5311,22655,9802,2421,628.6,6980,20332,10657,2382,2025-03-16
Alatariel,Mage,dps,Frost,5,224.0,582,681,158,484,224.2,582,701,158,496,2021-07-07
Alexbuh,Hunter,dps,BeastMastery,52,618.0,13195,14836,9533,-96,543.8,7809,9809,5587,1879,2024-11-03
Alexbuh,Hunter,dps,Marksmanship,36,608.0,12409,8739,14169,5,597.2,13995,2539,11721,3856,2024-09-25
Alexiamae,DeathKnight,dps,Unholy,1,266.0,182,695,1073,474,266.0,182,695,1073,474,2022-05-02
Alexidabstar,Mage,dps,Fire,5,198.0,674,291,149,412,198.0,687,291,149,412,2021-03-25
Alexmae,Priest,dps,Shadow,12,412.0,2060,4946,2452,1571,395.1,1787,4449,2567,1283,2023-05-28
Alexmaev,Mage,dps,Arcane,4,488.0,3670,6294,4127,3508,488.0,3670,6294,4127,3508,2024-08-19
Alexmaev,Mage,dps,Frost,5,469.0,3643,2904,3126,4121,469.6,4012,3047,2604,4175,2024-04-29
Alexmäe,Hunter,dps,BeastMastery,14,459.0,2687,5360,3311,1726,448.1,2704,4893,3054,1798,2023-12-10
Alexmäe,Hunter,dps,Marksmanship,2,420.0,2414,4115,2645,1761,420.0,2414,4115,2645,1761,2023-05-28
Aliafee,Druid,dps,Balance,2,205.0,0,470,733,531,205.0,0,470,733,531,2021-03-12
Alienso,Mage,dps,Arcane,6,214.0,407,438,687,263,213.3,396,431,698,263,2021-03-28
Alodar,Warlock,dps,Affliction,1,607.0,4309,5961,13802,9400,607.0,4309,5961,13802,9400,2024-09-17
Alturiak,Shaman,dps,Elemental,8,609.0,7020,11179,11646,1137,609.5,7020,11354,11313,1310,2024-10-30
Anakrai,Evoker,dps,Augmentation,7,594.0,5810,4600,11930,6677,594.0,5810,4600,11186,6677,2024-10-06
