player_name,realm_slug,region,season,dungeon,best_short_name,highest_key_level,highest_timed_level,total_runs,timed_runs,untimed_runs,latest_completed_at,best_key_level,best_score,best_timed,best_clear_time_ms,best_par_time_ms,best_completed_at,best_run_url
Ney,twisting-nether,eu,current,Skyreach,SR,5,5,1,1,0,2026-03-29T16:09:43.000Z,5,230.0,true,818031,1680999,2026-03-29T16:09:43.000Z,https://raider.io/mythic-plus-runs/season-mn-1/3813092-5-skyreach
Everrin,twisting-nether,eu,current,Skyreach,SR,13,13,1,1,0,2026-04-08T22:45:02.000Z,13,386.7,true,1381674,1680999,2026-04-08T22:45:02.000Z,https://raider.io/mythic-plus-runs/season-mn-1/9335328-13-skyreach
Disorders,twisting-nether,eu,current,Maisara Caverns,MC,12,12,2,2,0,2026-04-17T15:08:11.000Z,12,371.9,true,1618952,1980999,2026-04-17T15:08:11.000Z,https://raider.io/mythic-plus-runs/season-mn-1/13677556-12-maisara-caverns
Dorathy,twisting-nether,eu,current,Pit of Saron,POS,17,17,1,1,0,2026-04-16T11:39:08.000Z,17,440.9,true,1760130,1800999,2026-04-16T11:39:08.000Z,https://raider.io/mythic-plus-runs/season-mn-1/13166881-17-pit-of-saron
Yearning,twisting-nether,eu,current,Algeth'ar Academy,AA,12,12,2,2,0,2026-04-11T12:50:35.000Z,12,371.0,true,1511069,1800999,2026-04-11T12:50:35.000Z,https://raider.io/mythic-plus-runs/season-mn-1/10996351-12-algethar-academy
Lasermemes,twisting-nether,eu,current,Windrunner Spire,WS,10,10,3,3,0,2026-04-09T18:45:33.000Z,10,335.0,true,1186807,1980999,2026-03-28T01:51:01.000Z,https://raider.io/mythic-plus-runs/season-mn-1/2391833-10-windrunner-spire
Pixls,twisting-nether,eu,current,Pit of Saron,POS,10,10,1,1,0,2026-04-03T22:21:49.000Z,10,335.0,true,964435,1800999,2026-04-03T22:21:49.000Z,https://raider.io/mythic-plus-runs/season-mn-1/6631945-10-pit-of-saron
Smonkste,twisting-nether,eu,current,Nexus-Point Xenas,NPX,14,14,2,2,0,2026-04-19T13:21:21.000Z,14,398.8,true,1619534,1800999,2026-04-19T13:21:21.000Z,https://raider.io/mythic-plus-runs/season-mn-1/14875777-14-nexuspoint-xenas
Zrenak,ravencrest,eu,current,Maisara Caverns,MC,5,5,1,1,0,2026-04-03T20:33:22.000Z,5,227.4,true,1324362,1980999,2026-04-03T20:33:22.000Z,https://raider.io/mythic-plus-runs/season-mn-1/6581124-5-maisara-caverns
Nylo,twisting-nether,eu,current,Algeth'ar Academy,AA,16,16,3,3,0,2026-04-19T08:59:45.000Z,16,426.4,true,1735645,1800999,2026-04-08T15:39:16.000Z,https://raider.io/mythic-plus-runs/season-mn-1/9036655-16-algethar-academy
