player_name,realm_slug,region,season,source,dungeon,short_name,mythic_level,score,completed_at,completed_date,clear_time_ms,par_time_ms,num_keystone_upgrades,timed,url,snapshot_at
Selthiel,ravencrest,eu,current,best,Maisara Caverns,MC,15,415.8,2026-04-12T18:09:38.000Z,2026-04-12,1672856,1980999,1,true,https://raider.io/mythic-plus-runs/season-mn-1/11499349-15-maisara-caverns,2026-04-18T20:04:44.993Z
Selthiel,ravencrest,eu,current,recent,Pit of Saron,POS,14,400.4,2026-04-14T20:46:27.000Z,2026-04-14,1543137,1800999,1,true,https://raider.io/mythic-plus-runs/season-mn-1/12452356-14-pit-of-saron,2026-04-18T20:04:44.993Z
Selthiel,ravencrest,eu,current,recent,Seat of the Triumvirate,SEAT,15,0.0,2026-04-14T20:15:35.000Z,2026-04-14,3000170,2040999,0,false,https://raider.io/mythic-plus-runs/season-mn-1/12442100-15-seat-of-the-triumvirate,2026-04-18T20:04:44.993Z
Aypeross,twisting-nether,eu,current,recent,Magisters' Terrace,MT,10,328.3,2026-04-14T15:49:09.000Z,2026-04-14,1588057,2040999,2,true,https://raider.io/mythic-plus-runs/season-mn-1/12354489-10-magisters-terrace,2026-04-19T01:23:47.619Z
Aypeross,twisting-nether,eu,current,recent,Seat of the Triumvirate,SEAT,11,344.7,2026-04-14T13:39:53.000Z,2026-04-14,1512230,2040999,2,true,https://raider.io/mythic-plus-runs/season-mn-1/12287622-11-seat-of-the-triumvirate,2026-04-19T01:23:47.619Z
Aypeross,twisting-nether,eu,current,best,Windrunner Spire,WS,12,369.7,2026-04-06T14:26:52.000Z,2026-04-06,1734839,1980999,1,true,https://raider.io/mythic-plus-runs/season-mn-1/8040234-12-windrunner-spire,2026-04-19T01:23:47.619Z
Budgetgoku,twisting-nether,eu,current,recent,Algeth'ar Academy,AA,11,343.0,2026-04-13T12:36:49.000Z,2026-04-13,1415732,1800999,2,true,https://raider.io/mythic-plus-runs/season-mn-1/11777095-11-algethar-academy,2026-04-19T01:23:47.619Z
Budgetgoku,twisting-nether,eu,current,recent,Magisters' Terrace,MT,12,373.3,2026-04-07T20:19:29.000Z,2026-04-07,1590983,2040999,2,true,https://raider.io/mythic-plus-runs/season-mn-1/8706299-12-magisters-terrace,2026-04-19T01:23:47.619Z
Estrogel,twisting-nether,eu,current,recent,Pit of Saron,POS,12,318.8,2026-04-12T18:22:07.000Z,2026-04-12,1858067,1800999,0,false,https://raider.io/mythic-plus-runs/season-mn-1/11290889-12-pit-of-saron,2026-04-19T01:23:47.619Z
Estrogel,twisting-nether,eu,current,recent,Pit of Saron,POS,12,368.1,2026-04-12T20:15:41.000Z,2026-04-12,1650815,1800999,1,true,https://raider.io/mythic-plus-runs/season-mn-1/11750063-12-pit-of-saron,2026-04-19T01:23:47.619Z
Estrogel,twisting-nether,eu,current,best,Skyreach,SR,13,386.7,2026-04-08T22:45:02.000Z,2026-04-08,1381674,1680999,1,true,https://raider.io/mythic-plus-runs/season-mn-1/9335328-13-skyreach,2026-04-19T01:23:47.619Z
Estrogel,twisting-nether,eu,current,recent,Skyreach,SR,12,374.7,2026-04-12T18:52:35.000Z,2026-04-12,1246189,1680999,2,true,https://raider.io/mythic-plus-runs/season-mn-1/11750217-12-skyreach,2026-04-19T01:23:47.619Z
Garsias,tarren-mill,eu,current,best,Algeth'ar Academy,AA,10,327.1,2026-04-04T08:17:31.000Z,2026-04-04,1460255,1800999,1,true,https://raider.io/mythic-plus-runs/season-mn-1/6832750-10-algethar-academy,2026-04-19T01:23:47.619Z
Garsias,tarren-mill,eu,current,best,Maisara Caverns,MC,10,328.3,2026-03-30T12:12:46.000Z,2026-03-30,1543008,1980999,2,true,https://raider.io/mythic-plus-runs/season-mn-1/4398544-10-maisara-caverns,2026-04-19T01:23:47.619Z
Garsias,tarren-mill,eu,current,best,Nexus-Point Xenas,NPX,10,333.1,2026-04-03T21:04:19.000Z,2026-04-03,1171686,1800999,2,true,https://raider.io/mythic-plus-runs/season-mn-1/6610618-10-nexuspoint-xenas,2026-04-19T01:23:47.619Z
Garsias,tarren-mill,eu,current,best,Pit of Saron,POS,10,329.7,2026-04-10T20:57:14.000Z,2026-04-10,1333743,1800999,2,true,https://raider.io/mythic-plus-runs/season-mn-1/10317353-10-pit-of-saron,2026-04-19T01:23:47.619Z
Garsias,tarren-mill,eu,current,best,Seat of the Triumvirate,SEAT,10,334.4,2026-04-03T21:40:35.000Z,2026-04-03,1255960,2040999,2,true,https://raider.io/mythic-plus-runs/season-mn-1/6621337-10-seat-of-the-triumvirate,2026-04-19T01:23:47.619Z
Garsias,tarren-mill,eu,current,best,Skyreach,SR,10,335.0,2026-04-04T12:28:51.000Z,2026-04-04,1000922,1680999,3,true,https://raider.io/mythic-plus-runs/season-mn-1/6845003-10-skyreach,2026-04-19T01:23:47.619Z
Garsias,tarren-mill,eu,current,recent,Skyreach,SR,10,329.4,2026-04-04T20:54:40.000Z,2026-04-04,1261542,1680999,2,true,https://raider.io/mythic-plus-runs/season-mn-1/7123092-10-skyreach,2026-04-19T01:23:47.619Z
Garsias,tarren-mill,eu,current,recent,Skyreach,SR,10,329.8,2026-04-04T21:23:01.000Z,2026-04-04,1243629,1680999,2,true,https://raider.io/mythic-plus-runs/season-mn-1/7131132-10-skyreach,2026-04-19T01:23:47.619Z
Jointsuckerr,twisting-nether,eu,current,recent,Algeth'ar Academy,AA,11,342.9,2026-04-09T13:38:24.000Z,2026-04-09,1421498,1800999,2,true,https://raider.io/mythic-plus-runs/season-mn-1/9547191-11-algethar-academy,2026-04-19T01:23:47.619Z
Jointsuckerr,twisting-nether,eu,current,best,Nexus-Point Xenas,NPX,14,398.7,2026-04-07T00:41:50.000Z,2026-04-07,1621249,1800999,1,true,https://raider.io/mythic-plus-runs/season-mn-1/8330892-14-nexuspoint-xenas,2026-04-19T01:23:47.619Z
Jointsuckerr,twisting-nether,eu,current,recent,Windrunner Spire,WS,10,335.0,2026-04-08T16:37:12.000Z,2026-04-08,1038946,1980999,3,true,https://raider.io/mythic-plus-runs/season-mn-1/9075064-10-windrunner-spire,2026-04-19T01:23:47.619Z
Jointsuckerr,twisting-nether,eu,current,recent,Windrunner Spire,WS,10,334.1,2026-04-08T17:11:22.000Z,2026-04-08,1235078,1980999,2,true,https://raider.io/mythic-plus-runs/season-mn-1/9369136-10-windrunner-spire,2026-04-19T01:23:47.619Z
Jumzo,sylvanas,eu,current,recent,Algeth'ar Academy,AA,12,369.7,2026-04-15T15:34:30.000Z,2026-04-15,1573599,1800999,1,true,https://raider.io/mythic-plus-runs/season-mn-1/12788708-12-algethar-academy,2026-04-19T01:23:47.619Z
Jumzo,sylvanas,eu,current,best,Magisters' Terrace,MT,13,382.7,2026-04-08T11:57:29.000Z,2026-04-08,1891454,2040999,1,true,https://raider.io/mythic-plus-runs/season-mn-1/8956269-13-magisters-terrace,2026-04-19T01:23:47.619Z
Jumzo,sylvanas,eu,current,recent,Pit of Saron,POS,10,335.0,2026-04-14T22:17:12.000Z,2026-04-14,1070839,1800999,3,true,https://raider.io/mythic-plus-runs/season-mn-1/12592380-10-pit-of-saron,2026-04-19T01:23:47.619Z
Jumzo,sylvanas,eu,current,recent,Pit of Saron,POS,10,335.0,2026-04-16T20:10:04.000Z,2026-04-16,984372,1800999,3,true,https://raider.io/mythic-plus-runs/season-mn-1/13413413-10-pit-of-saron,2026-04-19T01:23:47.619Z
Jumzo,sylvanas,eu,current,recent,Seat of the Triumvirate,SEAT,10,331.0,2026-04-16T19:01:28.000Z,2026-04-16,1439815,2040999,2,true,https://raider.io/mythic-plus-runs/season-mn-1/13418560-10-seat-of-the-triumvirate,2026-04-19T01:23:47.619Z
Jumzo,sylvanas,eu,current,best,Skyreach,SR,13,386.7,2026-04-08T22:45:02.000Z,2026-04-08,1381674,1680999,1,true,https://raider.io/mythic-plus-runs/season-mn-1/9335328-13-skyreach,2026-04-19T01:23:47.619Z
Megachomber,ravencrest,eu,current,recent,Algeth'ar Academy,AA,10,333.0,2026-04-15T11:43:54.000Z,2026-04-15,1174462,1800999,2,true,https://raider.io/mythic-plus-runs/season-mn-1/12706099-10-algethar-academy,2026-04-19T01:23:47.619Z
Megachomber,ravencrest,eu,current,recent,Nexus-Point Xenas,NPX,14,401.4,2026-04-15T16:41:42.000Z,2026-04-15,1494869,1800999,1,true,https://raider.io/mythic-plus-runs/season-mn-1/12790701-14-nexuspoint-xenas,2026-04-19T01:23:47.619Z
Megachomber,ravencrest,eu,current,best,Windrunner Spire,WS,15,410.1,2026-04-11T22:34:17.000Z,2026-04-11,1977138,1980999,1,true,https://raider.io/mythic-plus-runs/season-mn-1/10945755-15-windrunner-spire,2026-04-19T01:23:47.619Z
Midnight,silvermoon,eu,current,recent,Maisara Caverns,MC,10,330.2,2026-04-06T14:26:38.000Z,2026-04-06,1443664,1980999,2,true,https://raider.io/mythic-plus-runs/season-mn-1/8428272-10-maisara-caverns,2026-04-19T01:23:47.619Z
Nylo,twisting-nether,eu,current,recent,Nexus-Point Xenas,NPX,13,388.4,2026-04-08T19:43:38.000Z,2026-04-08,1398069,1800999,2,true,https://raider.io/mythic-plus-runs/season-mn-1/9208539-13-nexuspoint-xenas,2026-04-19T01:23:47.619Z
Selthiel,ravencrest,eu,current,recent,Nexus-Point Xenas,NPX,14,401.4,2026-04-15T16:41:42.000Z,2026-04-15,1494869,1800999,1,true,https://raider.io/mythic-plus-runs/season-mn-1/12790701-14-nexuspoint-xenas,2026-04-19T01:23:47.619Z
Selthiel,ravencrest,eu,current,best,Windrunner Spire,WS,15,410.1,2026-04-11T22:34:17.000Z,2026-04-11,1977138,1980999,1,true,https://raider.io/mythic-plus-runs/season-mn-1/10945755-15-windrunner-spire,2026-04-19T01:23:47.619Z
Sköddsköddna,twisting-nether,eu,current,recent,Pit of Saron,POS,10,324.5,2026-04-14T17:16:31.000Z,2026-04-14,1585713,1800999,1,true,https://raider.io/mythic-plus-runs/season-mn-1/12359061-10-pit-of-saron,2026-04-19T01:23:47.619Z
Sköddsköddna,twisting-nether,eu,current,recent,Skyreach,SR,10,333.8,2026-04-14T16:39:08.000Z,2026-04-14,1060776,1680999,2,true,https://raider.io/mythic-plus-runs/season-mn-1/12336042-10-skyreach,2026-04-19T01:23:47.619Z
Smonkste,twisting-nether,eu,current,recent,Magisters' Terrace,MT,10,328.8,2026-04-14T22:34:27.000Z,2026-04-14,1564116,2040999,2,true,https://raider.io/mythic-plus-runs/season-mn-1/13413056-10-magisters-terrace,2026-04-19T01:23:47.619Z
Smonkste,twisting-nether,eu,current,recent,Windrunner Spire,WS,10,332.7,2026-04-16T20:36:26.000Z,2026-04-16,1310833,1980999,2,true,https://raider.io/mythic-plus-runs/season-mn-1/13448219-10-windrunner-spire,2026-04-19T01:23:47.619Z
Turbohot,twisting-nether,eu,current,recent,Algeth'ar Academy,AA,10,327.9,2026-03-29T11:03:32.000Z,2026-03-29,1420574,1800999,2,true,https://raider.io/mythic-plus-runs/season-mn-1/3380175-10-algethar-academy,2026-04-19T01:23:47.619Z
Turbohot,twisting-nether,eu,current,recent,Nexus-Point Xenas,NPX,11,342.3,2026-04-07T18:31:39.000Z,2026-04-07,1448804,1800999,1,true,https://raider.io/mythic-plus-runs/season-mn-1/8674169-11-nexuspoint-xenas,2026-04-19T01:23:47.619Z
Turbohot,twisting-nether,eu,current,best,Skyreach,SR,10,324.4,2026-03-25T14:54:17.000Z,2026-03-25,1482248,1680999,1,true,https://raider.io/mythic-plus-runs/season-mn-1/384259-10-skyreach,2026-04-19T01:23:47.619Z
Turbohot,twisting-nether,eu,current,recent,Windrunner Spire,WS,10,332.1,2026-04-07T17:57:55.000Z,2026-04-07,1342401,1980999,2,true,https://raider.io/mythic-plus-runs/season-mn-1/8678004-10-windrunner-spire,2026-04-19T01:23:47.619Z
Typ,ravencrest,eu,current,recent,Nexus-Point Xenas,NPX,12,376.2,2026-04-15T15:36:38.000Z,2026-04-15,1263035,1800999,2,true,https://raider.io/mythic-plus-runs/season-mn-1/12760077-12-nexuspoint-xenas,2026-04-19T01:23:47.619Z
Typ,ravencrest,eu,current,recent,Nexus-Point Xenas,NPX,14,401.4,2026-04-15T16:41:42.000Z,2026-04-15,1494869,1800999,1,true,https://raider.io/mythic-plus-runs/season-mn-1/12790701-14-nexuspoint-xenas,2026-04-19T01:23:47.619Z
Typ,ravencrest,eu,current,best,Windrunner Spire,WS,15,410.1,2026-04-11T22:34:17.000Z,2026-04-11,1977138,1980999,1,true,https://raider.io/mythic-plus-runs/season-mn-1/10945755-15-windrunner-spire,2026-04-19T01:23:47.619Z
Alexiamae,twisting-nether,eu,current,best,Algeth'ar Academy,AA,10,333.4,2026-04-03T18:48:58.000Z,2026-04-03,1159480,1800999,2,true,https://raider.io/mythic-plus-runs/season-mn-1/7449485-10-algethar-academy,2026-04-19T22:49:32.697Z
Alexiamae,twisting-nether,eu,current,best,Magisters' Terrace,MT,10,335.0,2026-04-05T13:35:14.000Z,2026-04-05,1223280,2040999,3,true,https://raider.io/mythic-plus-runs/season-mn-1/7486060-10-magisters-terrace,2026-04-19T22:49:32.697Z
Alexiamae,twisting-nether,eu,current,recent,Maisara Caverns,MC,10,332.4,2026-04-11T20:18:41.000Z,2026-04-11,1326597,1980999,2,true,https://raider.io/mythic-plus-runs/season-mn-1/10953327-10-maisara-caverns,2026-04-19T22:49:32.697Z
Alexiamae,twisting-nether,eu,current,best,Maisara Caverns,MC,10,335.0,2026-04-11T20:44:39.000Z,2026-04-11,1180354,1980999,3,true,https://raider.io/mythic-plus-runs/season-mn-1/10928794-10-maisara-caverns,2026-04-19T22:49:32.697Z
Alexiamae,twisting-nether,eu,current,recent,Nexus-Point Xenas,NPX,10,332.6,2026-04-05T14:01:56.000Z,2026-04-05,1195576,1800999,2,true,https://raider.io/mythic-plus-runs/season-mn-1/7482903-10-nexuspoint-xenas,2026-04-19T22:49:32.697Z
Alexiamae,twisting-nether,eu,current,best,Nexus-Point Xenas,NPX,10,335.0,2026-04-08T20:13:53.000Z,2026-04-08,1079779,1800999,3,true,https://raider.io/mythic-plus-runs/season-mn-1/9272869-10-nexuspoint-xenas,2026-04-19T22:49:32.697Z
Alexiamae,twisting-nether,eu,current,best,Pit of Saron,POS,10,335.0,2026-04-01T19:28:29.000Z,2026-04-01,1047950,1800999,3,true,https://raider.io/mythic-plus-runs/season-mn-1/5515024-10-pit-of-saron,2026-04-19T22:49:32.697Z
Alexiamae,twisting-nether,eu,current,recent,Pit of Saron,POS,10,330.4,2026-04-04T08:44:36.000Z,2026-04-04,1302523,1800999,2,true,https://raider.io/mythic-plus-runs/season-mn-1/6733753-10-pit-of-saron,2026-04-19T22:49:32.697Z
Alexiamae,twisting-nether,eu,current,recent,Seat of the Triumvirate,SEAT,10,335.0,2026-04-05T13:00:19.000Z,2026-04-05,1081029,2040999,3,true,https://raider.io/mythic-plus-runs/season-mn-1/7481982-10-seat-of-the-triumvirate,2026-04-19T22:49:32.697Z
Alexiamae,twisting-nether,eu,current,best,Seat of the Triumvirate,SEAT,10,335.0,2026-04-08T19:45:30.000Z,2026-04-08,1004502,2040999,3,true,https://raider.io/mythic-plus-runs/season-mn-1/9249503-10-seat-of-the-triumvirate,2026-04-19T22:49:32.697Z
Alexiamae,twisting-nether,eu,current,best,Skyreach,SR,10,330.9,2026-04-03T19:20:07.000Z,2026-04-03,1192393,1680999,2,true,https://raider.io/mythic-plus-runs/season-mn-1/6443016-10-skyreach,2026-04-19T22:49:32.697Z
Alexiamae,twisting-nether,eu,current,recent,Windrunner Spire,WS,10,327.1,2026-04-03T21:00:21.000Z,2026-04-03,1604421,1980999,1,true,https://raider.io/mythic-plus-runs/season-mn-1/7449435-10-windrunner-spire,2026-04-19T22:49:32.697Z
Alexiamae,twisting-nether,eu,current,best,Windrunner Spire,WS,10,334.7,2026-04-05T12:32:16.000Z,2026-04-05,1206803,1980999,2,true,https://raider.io/mythic-plus-runs/season-mn-1/7449095-10-windrunner-spire,2026-04-19T22:49:32.697Z
Axonea,twisting-nether,eu,current,recent,Algeth'ar Academy,AA,10,331.0,2026-04-06T13:58:03.000Z,2026-04-06,1272959,1800999,2,true,https://raider.io/mythic-plus-runs/season-mn-1/8428275-10-algethar-academy,2026-04-19T22:49:32.697Z
Axonea,twisting-nether,eu,current,best,Algeth'ar Academy,AA,10,333.4,2026-04-06T15:57:25.000Z,2026-04-06,1158183,1800999,2,true,https://raider.io/mythic-plus-runs/season-mn-1/8428280-10-algethar-academy,2026-04-19T22:49:32.697Z
Axonea,twisting-nether,eu,current,best,Magisters' Terrace,MT,10,332.9,2026-04-06T15:29:55.000Z,2026-04-06,1339373,2040999,2,true,https://raider.io/mythic-plus-runs/season-mn-1/8428263-10-magisters-terrace,2026-04-19T22:49:32.697Z
Axonea,twisting-nether,eu,current,recent,Maisara Caverns,MC,10,322.5,2026-03-31T23:08:54.000Z,2026-03-31,1846484,1980999,1,true,https://raider.io/mythic-plus-runs/season-mn-1/5125363-10-maisara-caverns,2026-04-19T22:49:32.697Z
Axonea,twisting-nether,eu,current,best,Maisara Caverns,MC,10,330.2,2026-04-06T14:26:38.000Z,2026-04-06,1443664,1980999,2,true,https://raider.io/mythic-plus-runs/season-mn-1/8428272-10-maisara-caverns,2026-04-19T22:49:32.697Z
Axonea,twisting-nether,eu,current,recent,Pit of Saron,POS,10,333.7,2026-04-06T13:27:39.000Z,2026-04-06,1142250,1800999,2,true,https://raider.io/mythic-plus-runs/season-mn-1/8428251-10-pit-of-saron,2026-04-19T22:49:32.697Z
Axonea,twisting-nether,eu,current,best,Pit of Saron,POS,10,335.0,2026-04-14T22:17:12.000Z,2026-04-14,1070839,1800999,3,true,https://raider.io/mythic-plus-runs/season-mn-1/12592380-10-pit-of-saron,2026-04-19T22:49:32.697Z
Axonea,twisting-nether,eu,current,best,Seat of the Triumvirate,SEAT,10,332.0,2026-04-19T15:46:19.000Z,2026-04-19,1388062,2040999,2,true,https://raider.io/mythic-plus-runs/season-mn-1/15081023-10-seat-of-the-triumvirate,2026-04-19T22:49:32.697Z
Axonea,twisting-nether,eu,current,best,Skyreach,SR,12,374.7,2026-04-12T18:52:35.000Z,2026-04-12,1246189,1680999,2,true,https://raider.io/mythic-plus-runs/season-mn-1/11750217-12-skyreach,2026-04-19T22:49:32.697Z
Aypeross,twisting-nether,eu,current,best,Algeth'ar Academy,AA,12,369.3,2026-04-10T11:26:44.000Z,2026-04-10,1595128,1800999,1,true,https://raider.io/mythic-plus-runs/season-mn-1/9999520-12-algethar-academy,2026-04-19T22:49:32.697Z
Aypeross,twisting-nether,eu,current,best,Magisters' Terrace,MT,15,412.3,2026-04-17T15:15:40.000Z,2026-04-17,1916785,2040999,1,true,https://raider.io/mythic-plus-runs/season-mn-1/13692572-15-magisters-terrace,2026-04-19T22:49:32.697Z
Aypeross,twisting-nether,eu,current,recent,Magisters' Terrace,MT,10,330.7,2026-04-18T16:10:44.000Z,2026-04-18,1456667,2040999,2,true,https://raider.io/mythic-plus-runs/season-mn-1/14284095-10-magisters-terrace,2026-04-19T22:49:32.697Z
