player_name,realm_slug,region,profile_url,season,snapshot_at,snapshot_date,score_all,score_dps,score_healer,score_tank,world_rank,region_rank,realm_rank,raiderio_last_crawled_at
Selthiel,ravencrest,eu,https://raider.io/characters/eu/ravencrest/Selthiel,season-mn-1,2026-04-18T20:04:44.993Z,2026-04-18,3309.2,0.0,3309.2,0.0,78394,30391,1004,2026-04-18T08:24:28.000Z
Evestirwin,twisting-nether,eu,https://raider.io/characters/eu/twisting-nether/Evestirwin,season-mn-1,2026-04-18T20:04:44.993Z,2026-04-18,0.0,0.0,0.0,0.0,0,0,0,2026-03-23T10:40:32.000Z
Oxhorde,twisting-nether,eu,https://raider.io/characters/eu/twisting-nether/Oxhorde,season-mn-1,2026-04-18T20:04:44.993Z,2026-04-18,0.0,0.0,0.0,0.0,0,0,0,2026-03-23T10:40:32.000Z
Garsias,tarren-mill,eu,https://raider.io/characters/eu/tarren-mill/Garsias,season-mn-1,2026-04-18T20:04:44.993Z,2026-04-18,2681.6,2681.6,366.1,0.0,856904,300559,20408,2026-04-17T18:32:54.000Z
Zerodrama,twisting-nether,eu,https://raider.io/characters/eu/twisting-nether/Zerodrama,season-mn-1,2026-04-18T20:04:44.993Z,2026-04-18,0.0,0.0,0.0,0.0,0,0,0,2026-03-02T13:07:11.000Z
Bigboiples,twisting-nether,eu,https://raider.io/characters/eu/twisting-nether/Bigboiples,season-mn-1,2026-04-18T20:04:44.993Z,2026-04-18,3025.4,3025.4,0.0,0.0,329068,119036,6858,2026-04-18T09:55:30.000Z
Fauxcoated,twisting-nether,eu,https://raider.io/characters/eu/twisting-nether/Fauxcoated,season-mn-1,2026-04-18T20:04:44.993Z,2026-04-18,0.0,0.0,0.0,0.0,0,0,0,2026-03-23T10:40:34.000Z
Punglean,twisting-nether,eu,https://raider.io/characters/eu/twisting-nether/Punglean,season-mn-1,2026-04-18T20:04:44.993Z,2026-04-18,0.0,0.0,0.0,0.0,0,0,0,2026-03-02T13:07:17.000Z
Leanus,twisting-nether,eu,https://raider.io/characters/eu/twisting-nether/Leanus,season-mn-1,2026-04-18T20:04:44.993Z,2026-04-18,0.0,0.0,0.0,0.0,0,0,0,2026-03-23T10:40:35.000Z
Yeviel,twisting-nether,eu,https://raider.io/characters/eu/twisting-nether/Yeviel,season-mn-1,2026-04-18T20:04:44.993Z,2026-04-18,0.0,0.0,0.0,0.0,0,0,0,2026-04-18T17:48:06.000Z
Bami,twisting-nether,eu,https://raider.io/characters/eu/twisting-nether/Bami,season-mn-1,2026-04-18T20:04:44.993Z,2026-04-18,0.0,0.0,0.0,0.0,0,0,0,2026-03-02T13:07:14.000Z
Pledis,twisting-nether,eu,https://raider.io/characters/eu/twisting-nether/Pledis,season-mn-1,2026-04-18T20:04:44.993Z,2026-04-18,0.0,0.0,0.0,0.0,0,0,0,2026-03-02T13:07:15.000Z
Keenus,twisting-nether,eu,https://raider.io/characters/eu/twisting-nether/Keenus,season-mn-1,2026-04-18T20:04:44.993Z,2026-04-18,0.0,0.0,0.0,0.0,0,0,0,2026-03-02T13:07:17.000Z
Näe,twisting-nether,eu,https://raider.io/characters/eu/twisting-nether/Näe,season-mn-1,2026-04-18T20:04:44.993Z,2026-04-18,0.0,0.0,0.0,0.0,0,0,0,2026-03-02T13:07:15.000Z
Momobami,twisting-nether,eu,https://raider.io/characters/eu/twisting-nether/Momobami,season-mn-1,2026-04-18T20:04:44.993Z,2026-04-18,0.0,0.0,0.0,0.0,0,0,0,2026-04-10T08:34:11.000Z
Temra,twisting-nether,eu,https://raider.io/characters/eu/twisting-nether/Temra,season-mn-1,2026-04-18T20:04:44.993Z,2026-04-18,0.0,0.0,0.0,0.0,0,0,0,2026-03-23T10:40:36.000Z
