player_name,player_class,total_deaths,kills_tracked,deaths_per_kill,most_common_killing_blow,most_common_killing_blow_count,top_killing_blows_json,zones_died_in,last_death_timestamp_ms
Enjxi,DeathKnight,204,1,204.0,Reckless Impact,38,"[{""name"":""Reckless Impact"",""count"":38},{""name"":""Betrayal"",""count"":28},{""name"":""Reactive Froth"",""count"":17}]","[""Nerub-ar Palace""]",8291460
Olegrip,DeathKnight,36,1,36.0,Oblivion,14,"[{""name"":""Oblivion"",""count"":14},{""name"":""Melee"",""count"":6},{""name"":""Null Binding"",""count"":4}]","[""Manaforge Omega""]",6177582
Amzbot,DeathKnight,32,0,32.0,Venom Nova,3,"[{""name"":""Venom Nova"",""count"":3},{""name"":""Cataclysmic Entropy"",""count"":3},{""name"":""Melee"",""count"":3}]","[""Nerub-ar Palace""]",7407775
Lyonarise,Warrior,27,1,27.0,Null Binding,5,"[{""name"":""Null Binding"",""count"":5},{""name"":""Star Burst"",""count"":3},{""name"":""Melee"",""count"":3}]","[""Manaforge Omega""]",5909661
Delvur,Paladin,77,5,15.4,Canister Detonation,16,"[{""name"":""Canister Detonation"",""count"":16},{""name"":""Unstable Cluster Bomb"",""count"":8},{""name"":""Auto-Locking Cuff Bomb"",""count"":7}]","[""Liberation of Undermine"",""Manaforge Omega""]",5260332
Benspala,Paladin,30,2,15.0,Canister Detonation,4,"[{""name"":""Canister Detonation"",""count"":4},{""name"":""Toxic Waves"",""count"":4},{""name"":""Pay-Line"",""count"":3}]","[""Nerub-ar Palace"",""Liberation of Undermine""]",5260516
Milpojizzu,DeathKnight,26,2,13.0,Stars Collide,6,"[{""name"":""Stars Collide"",""count"":6},{""name"":""Tyranny"",""count"":4},{""name"":""Banishment"",""count"":2}]","[""Manaforge Omega""]",5879025
Overated,Paladin,13,0,13.0,Oblivion,7,"[{""name"":""Oblivion"",""count"":7},{""name"":""Devour"",""count"":2},{""name"":""Null Binding"",""count"":1}]","[""Manaforge Omega""]",6193403
Pirogochek,Monk,11,0,11.0,Canister Detonation,3,"[{""name"":""Canister Detonation"",""count"":3},{""name"":""Scatterblast Canisters"",""count"":2},{""name"":""Blast Burns"",""count"":1}]","[""Liberation of Undermine""]",3789304
Miaomiao,Monk,11,1,11.0,Oblivion,5,"[{""name"":""Oblivion"",""count"":5},{""name"":""Voidwarding"",""count"":2},{""name"":""Star Burst"",""count"":1}]","[""Manaforge Omega""]",5309698
Markerr,Druid,10,0,10.0,Zagging Zizzler,5,"[{""name"":""Zagging Zizzler"",""count"":5},{""name"":""Canister Detonation"",""count"":2},{""name"":""1500-Pound \\\""Dud\\\"""",""count"":1}]","[""Liberation of Undermine""]",3799934
Flaylock,Warlock,10,0,10.0,Paralyzing Waves,3,"[{""name"":""Paralyzing Waves"",""count"":3},{""name"":""Reaction Vapor"",""count"":2},{""name"":""Venom Nova"",""count"":1}]","[""Nerub-ar Palace""]",3401299
Anastherion,Mage,10,0,10.0,Canister Detonation,5,"[{""name"":""Canister Detonation"",""count"":5},{""name"":""Venting Heat"",""count"":1},{""name"":""Fused Canisters"",""count"":1}]","[""Liberation of Undermine""]",3809317
Olesmash,Warrior,10,0,10.0,Devour,2,"[{""name"":""Devour"",""count"":2},{""name"":""Oblivion"",""count"":2},{""name"":""Voidwarding"",""count"":2}]","[""Manaforge Omega""]",4102706
Tunaicecrëam,Warlock,18,2,9.0,Stars Collide,4,"[{""name"":""Stars Collide"",""count"":4},{""name"":""Melee"",""count"":2},{""name"":""Twilight Spikes"",""count"":2}]","[""Manaforge Omega""]",3824559
Deloop,Shaman,18,2,9.0,Stars Collide,6,"[{""name"":""Stars Collide"",""count"":6},{""name"":""Tyranny"",""count"":4},{""name"":""Twilight Spikes"",""count"":2}]","[""Manaforge Omega""]",4222481
Rosswl,Warlock,9,0,9.0,Shadowgate,5,"[{""name"":""Shadowgate"",""count"":5},{""name"":""Reactive Froth"",""count"":1},{""name"":""Radiating Gloom"",""count"":1}]","[""Nerub-ar Palace""]",4406053
Deadrasta,DeathKnight,9,0,9.0,Canister Detonation,2,"[{""name"":""Canister Detonation"",""count"":2},{""name"":""Giga Coils"",""count"":1},{""name"":""Scatterblast Canisters"",""count"":1}]","[""Liberation of Undermine""]",3549626
