report_code,report_title,start_time_utc,end_time_utc,zone_id,zone_name,raid_night_date,primary_difficulty,total_pulls,boss_kills,total_wipes,total_fight_seconds,unique_bosses_engaged,unique_bosses_killed
hzAPY2FJ1QctbGZN,2023-10-04 PLEASE PLEASE PLEASE KILL SARK,2023-10-04T17:46:15.311Z,2023-10-04T21:07:56.052Z,33,"Aberrus, the Shadowed Crucible",2023-10-04,Mythic,26,0,26,6788,1,0
8QHKg1kdzZa7AXp9,2023-07-24 Zskarn kill,2023-07-24T17:52:07.773Z,2023-07-24T21:04:30.309Z,33,"Aberrus, the Shadowed Crucible",2023-07-24,Mythic,26,1,25,6175,2,1
vw9h82qRbYWzBJ7M,Kyveza 24-12-16,2024-12-16T18:48:56.810Z,2024-12-16T22:02:56.889Z,38,Nerub-ar Palace,2024-12-16,Mythic,33,1,32,4229,2,1
C61kw8BLbVGAvJWq,CN Heroic Alt run,2021-04-14T18:04:58.762Z,2021-04-14T20:00:13.618Z,26,Castle Nathria,2021-04-14,Heroic,5,3,2,1084,4,3
FZRrB6M1HKmDn38g,2023-05-22,2023-05-22T17:57:19.624Z,2023-05-22T20:40:45.282Z,33,"Aberrus, the Shadowed Crucible",2023-05-22,Mythic,20,10,10,3946,9,9
cavqmBxPCgArZzYp,2023-09-06 sark,2023-09-06T18:04:02.658Z,2023-09-06T20:56:07.611Z,33,"Aberrus, the Shadowed Crucible",2023-09-06,Mythic,27,0,27,5017,1,0
wMtd86DnyqfQYzx1,Smolderon Round 2: FIGHT - Mythic 29-01,2024-01-29T18:59:45.430Z,2024-01-29T21:50:59.050Z,35,"Amirdrassil, the Dream's Hope",2024-01-29,Mythic,26,0,26,4828,1,0
V8XTDFM1h64wCRdf,"2023-11-15 Roa is dead, Long live Jads - Amirdrassil Raid #1",2023-11-15T18:48:20.214Z,2023-11-15T22:09:41.099Z,35,"Amirdrassil, the Dream's Hope",2023-11-15,Heroic,18,11,7,4030,9,9
Bj1dwva4pZr2yT8A,2023-08-30 sark,2023-08-30T17:57:47.272Z,2023-08-30T20:58:45.513Z,33,"Aberrus, the Shadowed Crucible",2023-08-30,Mythic,28,0,28,5544,1,0
tJ6ywfmxBHDbKgCc,Achievement run - Big logs = FAIL!!!,2025-05-04T17:45:05.649Z,2025-05-04T19:27:44.546Z,42,Liberation of Undermine,2025-05-04,Normal,9,8,1,2107,8,8
hNkWgYHwm7qbFBf9,Painsmith,2021-10-18T18:08:31.090Z,2021-10-18T21:04:02.509Z,28,Sanctum of Domination,2021-10-18,Mythic,27,0,27,5998,1,0
b6mfajkYZ7vq3NTR,Nexus King Final Day - 11-05,2025-11-05T19:47:20.290Z,2025-11-05T21:04:10.300Z,44,Manaforge Omega,2025-11-05,Mythic,9,1,8,2268,1,1
2MTcwmKpLkCb9fyJ,20-03 Raz,2023-03-20T18:48:18.512Z,2023-03-20T22:06:22.436Z,31,Vault of the Incarnates,2023-03-20,Mythic,33,0,33,5019,1,0
xnF37aCA2HzbBY6J,2025-09-01 DIMMYD,2025-09-01T17:48:00.835Z,2025-09-01T21:06:05.631Z,44,Manaforge Omega,2025-09-01,Heroic,29,1,28,5602,2,1
DFANHypwvLTzfWaQ,No stops on the gambling train 03-19,2025-03-19T18:54:11.330Z,2025-03-19T21:59:05.266Z,42,Liberation of Undermine,2025-03-19,Heroic,22,7,15,5302,8,7
jczM7t4GmBCHW9yD,Sylvanas 15 dec,2021-12-15T18:50:44.481Z,2021-12-15T21:58:12.577Z,28,Sanctum of Domination,2021-12-15,Mythic,29,0,29,5415,1,0
fZnXNFY1jRqvLrm9,Enis Raid Attempt #1 - 09-14,2025-09-14T16:02:49.392Z,2025-09-14T17:31:26.073Z,44,Manaforge Omega,2025-09-14,Heroic,8,6,2,2378,6,6
