name,player_class,realm,rank,rank_label,rank_category,is_active,total_raids_tracked,raids_present,attendance_rate_pct,last_raid_date,first_raid_date,possible_main,has_possible_alt_in_logs
Momobunni,Shaman,twisting-nether,4,Officer Alt,Officer,false,0,0,0.0,null,null,Momobunni,true
Momobamie,Hunter,twisting-nether,3,Officer Alt,Officer,true,6,6,100.0,2022-09-14,2021-03-12,Momobamie,true
Momobami,Priest,twisting-nether,0,Guild Master,GM,true,281,281,100.0,2025-11-23,2021-02-14,Momobami,true
Bammies,Paladin,twisting-nether,3,Officer Alt,Officer,true,5,5,100.0,2023-06-04,2021-04-18,Bammies,false
Leanpean,Monk,twisting-nether,3,Officer Alt,Officer,false,0,0,0.0,null,null,Leanpean,false
Lenus,Demon Hunter,twisting-nether,2,Officer,Officer,true,272,272,100.0,2026-04-20,2022-12-18,Lenus,false
Leanmon,Shaman,twisting-nether,3,Officer Alt,Officer,false,0,0,0.0,null,null,Leanmon,false
Bigboiples,Druid,twisting-nether,5,Raider,Raider,true,261,261,100.0,2026-04-20,2022-09-12,Bigboiples,true
Jadsbrew,Monk,twisting-nether,3,Officer Alt,Officer,false,0,0,0.0,null,null,Jadsbrew,false
Pledis,Death Knight,twisting-nether,3,Officer Alt,Officer,false,0,0,0.0,null,null,Pledis,false
Yevels,Druid,twisting-nether,3,Officer Alt,Officer,false,0,0,0.0,null,null,Yevels,false
Gigamomo,Demon Hunter,twisting-nether,3,Officer Alt,Officer,false,0,0,0.0,null,null,Gigamomo,false
Burlyboy,Druid,twisting-nether,3,Officer Alt,Officer,false,0,0,0.0,null,null,Burlyboy,false
Bameesi,Evoker,twisting-nether,3,Officer Alt,Officer,false,0,0,0.0,null,null,Bameesi,false
Bamee,Death Knight,twisting-nether,3,Officer Alt,Officer,false,0,0,0.0,null,null,Bamee,false
Yevios,Hunter,twisting-nether,3,Officer Alt,Officer,false,0,0,0.0,null,null,Yevios,false
Megachomber,Death Knight,ravencrest,8,Trial,Trial,true,11,11,100.0,2026-04-20,2026-03-18,Megachomber,true
Bileplume,Rogue,twisting-nether,8,Trial,Trial,true,6,6,100.0,2026-04-15,2022-12-18,Bileplume,false
Girlboss,Rogue,twisting-nether,3,Officer Alt,Officer,false,0,0,0.0,null,null,Girlboss,false
Budgetgoku,Paladin,twisting-nether,5,Raider,Raider,true,57,57,100.0,2026-04-08,2023-12-10,Budgetgoku,false
Hydraxa,Mage,twisting-nether,3,Officer Alt,Officer,false,0,0,0.0,null,null,Hydraxa,true
Waterfalls,Shaman,twisting-nether,3,Officer Alt,Officer,true,3,3,100.0,2024-09-29,2024-09-15,Waterfalls,true
Beanus,Mage,twisting-nether,3,Officer Alt,Officer,true,6,6,100.0,2021-09-12,2021-08-29,Beanus,false
Leanus,Druid,twisting-nether,3,Officer Alt,Officer,true,163,163,100.0,2025-08-31,2021-01-25,Leanus,false
Maxzor,Hunter,twisting-nether,3,Officer Alt,Officer,true,5,5,100.0,2021-04-04,2021-03-21,Maxzor,false
Gigalin,Rogue,twisting-nether,3,Officer Alt,Officer,false,0,0,0.0,null,null,Gigalin,false
Zerodrama,Warrior,twisting-nether,4,Officer Alt,Officer,true,33,33,100.0,2023-06-04,2021-08-08,Zerodrama,false
Oxhorde,Druid,twisting-nether,3,Officer Alt,Officer,true,33,33,100.0,2024-09-29,2022-03-06,Oxhorde,false
Thype,Mage,ravencrest,8,Trial,Trial,true,1,1,100.0,2026-03-18,2026-03-18,Thype,false
Wunderwicz,Death Knight,twisting-nether,3,Officer Alt,Officer,false,0,0,0.0,null,null,Wunderwicz,true
Punglean,Priest,twisting-nether,3,Officer Alt,Officer,false,0,0,0.0,null,null,Punglean,false
