week_start,raid_nights,total_boss_kills,total_wipes,total_pulls,total_raid_seconds,zones_raided
2021-01-25T00:00:00.000Z,3,20,34,54,17362,"[""Castle Nathria""]"
2021-02-01T00:00:00.000Z,4,20,27,47,11479,"[""Castle Nathria""]"
2021-02-08T00:00:00.000Z,4,13,55,68,16344,"[""Castle Nathria""]"
2021-02-15T00:00:00.000Z,4,24,28,52,14228,"[""Castle Nathria""]"
2021-02-22T00:00:00.000Z,6,23,63,86,23775,"[""Castle Nathria""]"
2021-03-01T00:00:00.000Z,6,15,82,97,20322,"[""Castle Nathria""]"
2021-03-08T00:00:00.000Z,7,31,85,116,30103,"[""Castle Nathria""]"
2021-03-15T00:00:00.000Z,7,14,85,99,21346,"[""Castle Nathria""]"
2021-03-22T00:00:00.000Z,5,22,25,47,11746,"[""Castle Nathria""]"
2021-03-29T00:00:00.000Z,4,14,51,65,15104,"[""Castle Nathria""]"
2021-04-05T00:00:00.000Z,5,9,34,43,10870,"[""Castle Nathria""]"
2021-04-12T00:00:00.000Z,3,6,9,15,3360,"[""Castle Nathria""]"
2021-07-05T00:00:00.000Z,1,5,10,15,3866,"[""Sanctum of Domination""]"
2021-07-12T00:00:00.000Z,4,15,45,60,15624,"[""Sanctum of Domination""]"
2021-07-19T00:00:00.000Z,3,10,56,66,15434,"[""Sanctum of Domination""]"
2021-07-26T00:00:00.000Z,4,16,34,50,13646,"[""Sanctum of Domination""]"
2021-08-02T00:00:00.000Z,5,22,32,54,15085,"[""Sanctum of Domination""]"
2021-08-09T00:00:00.000Z,6,29,15,44,15745,"[""Sanctum of Domination""]"
2021-08-16T00:00:00.000Z,3,13,10,23,7435,"[""Sanctum of Domination""]"
2021-08-23T00:00:00.000Z,3,20,20,40,11719,"[""Sanctum of Domination""]"
2021-08-30T00:00:00.000Z,5,20,38,58,15815,"[""Sanctum of Domination""]"
2021-09-06T00:00:00.000Z,4,15,44,59,14133,"[""Sanctum of Domination""]"
2021-09-13T00:00:00.000Z,2,7,21,28,8182,"[""Sanctum of Domination""]"
