name,roster_rank,player_class,race,note,source_refreshed_at
Yearning,Main,Monk,Pandaren,,15/04 14:17
Karllia,Main,Demon Hunter,Void Elf,,15/04 14:17
Estrogel,Main,Evoker,Dracthyr,,15/04 14:17
Jadsrune,Main,Death Knight,Dark Iron Dwarf,,15/04 14:17
Midnight,Main,Mage,Night Elf,,15/04 14:17
Sebaheoung,Main,Warlock,Night Elf,,15/04 14:17
Dorathy,Main,Warrior,Blood Elf,,15/04 14:17
Hobbyalkis,Main,Rogue,Night Elf,,15/04 14:17
Jumzo,Main,Paladin,Human,,15/04 14:17
Rivey,Trial,Monk,Nightborne,,15/04 14:17
Turbohot,Main,Hunter,Night Elf,,15/04 14:17
Zren,Trial,Hunter,Void Elf,,15/04 14:17
Typ,Trial,Warrior,Night Elf,,15/04 14:17
Mleko,Main,Priest,Dwarf,,15/04 14:17
Yevie,Main,Priest,Void Elf,,15/04 14:17
Everrin,Main,Evoker,Dracthyr,,15/04 14:17
Budgetgoku,Main,Paladin,Dwarf,,15/04 14:17
Garsias,Main,Shaman,Tauren,,15/04 14:17
Megachomber,Trial,Death Knight,Void Elf,,15/04 14:17
Jointsuckerr,Trial,Shaman,Dwarf,,15/04 14:17
Bigboiples,Main,Druid,Highmountain Tauren,,15/04 14:17
Selthiel,Trial,Priest,Night Elf,,15/04 14:17
Pompqmoi,Trial,Mage,Dwarf,,15/04 14:17
Lunasnow,Trial,Mage,Void Elf,,15/04 14:17
Lenus,Main,Demon Hunter,Blood Elf,,15/04 14:17
Bpd,Trial,Warlock,Pandaren,,15/04 14:17
Thype,Trial,Mage,Night Elf,,15/04 14:17
Temitiri,Main,Shaman,Troll,,15/04 14:17
