player_name,realm_slug,achievement_id,achievement_name,completed_timestamp
Bigboiples,twisting-nether,17108,Cutting Edge: Raszageth the Storm-Eater,1681326135000
Bigboiples,twisting-nether,18254,Cutting Edge: Scalecommander Sarkareth,1697055851000
Bigboiples,twisting-nether,41625,"Cutting Edge: Dimensius, the All-Devouring",1768948332000
Bigboiples,twisting-nether,41297,Cutting Edge: Chrome King Gallywix,1752698464000
Bigboiples,twisting-nether,61492,"Cutting Edge: Chimaerus, the Undreamt God",1776110164000
Budgetgoku,twisting-nether,11191,Cutting Edge: Xavius,1480017720000
Budgetgoku,twisting-nether,12535,Cutting Edge: G'huun,1540743540000
Budgetgoku,twisting-nether,13785,Cutting Edge: Queen Azshara,1575920880000
Budgetgoku,twisting-nether,13323,Cutting Edge: Lady Jaina Proudmoore,1553023800000
Budgetgoku,twisting-nether,17108,Cutting Edge: Raszageth the Storm-Eater,1682453820000
Budgetgoku,twisting-nether,18254,Cutting Edge: Scalecommander Sarkareth,1693158840000
Budgetgoku,twisting-nether,41625,"Cutting Edge: Dimensius, the All-Devouring",1766868900000
Budgetgoku,twisting-nether,41297,Cutting Edge: Chrome King Gallywix,1752698460000
Budgetgoku,twisting-nether,61492,"Cutting Edge: Chimaerus, the Undreamt God",1776110160000
Estrogel,twisting-nether,61492,"Cutting Edge: Chimaerus, the Undreamt God",1776110164000
Everrin,twisting-nether,17108,Cutting Edge: Raszageth the Storm-Eater,1682367360000
Everrin,twisting-nether,41625,"Cutting Edge: Dimensius, the All-Devouring",1768948320000
Everrin,twisting-nether,41297,Cutting Edge: Chrome King Gallywix,1753988580000
Everrin,twisting-nether,61492,"Cutting Edge: Chimaerus, the Undreamt God",1776110165000
Garsias,tarren-mill,41625,"Cutting Edge: Dimensius, the All-Devouring",1768948332000
Garsias,tarren-mill,61492,"Cutting Edge: Chimaerus, the Undreamt God",1776110165000
Hobbyalkis,twisting-nether,15135,Cutting Edge: Sylvanas Windrunner,1645990824000
Hobbyalkis,twisting-nether,17108,Cutting Edge: Raszageth the Storm-Eater,1681326135000
Hobbyalkis,twisting-nether,18254,Cutting Edge: Scalecommander Sarkareth,1697055851000
Hobbyalkis,twisting-nether,41625,"Cutting Edge: Dimensius, the All-Devouring",1768948332000
Hobbyalkis,twisting-nether,41297,Cutting Edge: Chrome King Gallywix,1752698464000
Hobbyalkis,twisting-nether,61492,"Cutting Edge: Chimaerus, the Undreamt God",1776110164000
Jadsrune,twisting-nether,15135,Cutting Edge: Sylvanas Windrunner,1645566600000
Jadsrune,twisting-nether,17108,Cutting Edge: Raszageth the Storm-Eater,1682367360000
Jadsrune,twisting-nether,18254,Cutting Edge: Scalecommander Sarkareth,1697055840000
Jadsrune,twisting-nether,41625,"Cutting Edge: Dimensius, the All-Devouring",1768948320000
Jadsrune,twisting-nether,41297,Cutting Edge: Chrome King Gallywix,1752698460000
Jadsrune,twisting-nether,61492,"Cutting Edge: Chimaerus, the Undreamt God",1776110165000
Jointsuckerr,twisting-nether,17108,Cutting Edge: Raszageth the Storm-Eater,1682453820000
Jointsuckerr,twisting-nether,61492,"Cutting Edge: Chimaerus, the Undreamt God",1776110164000
Jumzo,sylvanas,41625,"Cutting Edge: Dimensius, the All-Devouring",1768948332000
Jumzo,sylvanas,41297,Cutting Edge: Chrome King Gallywix,1752698464000
Jumzo,sylvanas,61492,"Cutting Edge: Chimaerus, the Undreamt God",1776110164000
Karllia,argent-dawn,41625,"Cutting Edge: Dimensius, the All-Devouring",1768948320000
Karllia,argent-dawn,41297,Cutting Edge: Chrome King Gallywix,1752698460000
Karllia,argent-dawn,61492,"Cutting Edge: Chimaerus, the Undreamt God",1776110164000
Lunasnow,twisting-nether,12111,Cutting Edge: Argus the Unmaker,1520975280000
Lunasnow,twisting-nether,61492,"Cutting Edge: Chimaerus, the Undreamt God",1776279601000
Megachomber,ravencrest,61492,"Cutting Edge: Chimaerus, the Undreamt God",1776110164000
Midnight,silvermoon,18254,Cutting Edge: Scalecommander Sarkareth,1697055840000
Midnight,silvermoon,41297,Cutting Edge: Chrome King Gallywix,1752698460000
Midnight,silvermoon,61492,"Cutting Edge: Chimaerus, the Undreamt God",1776110165000
Rivey,defias-brotherhood,61492,"Cutting Edge: Chimaerus, the Undreamt God",1776110165000
Sebaheoung,twisting-nether,61492,"Cutting Edge: Chimaerus, the Undreamt God",1776110164000
Turbohot,twisting-nether,15135,Cutting Edge: Sylvanas Windrunner,1645566600000
Turbohot,twisting-nether,41625,"Cutting Edge: Dimensius, the All-Devouring",1768948332000
Turbohot,twisting-nether,41297,Cutting Edge: Chrome King Gallywix,1752698464000
Turbohot,twisting-nether,61492,"Cutting Edge: Chimaerus, the Undreamt God",1776110164000
Yearning,twisting-nether,41297,Cutting Edge: Chrome King Gallywix,1752698464000
Yearning,twisting-nether,61492,"Cutting Edge: Chimaerus, the Undreamt God",1776110164000
Yevie,twisting-nether,15135,Cutting Edge: Sylvanas Windrunner,1645566600000
Yevie,twisting-nether,17108,Cutting Edge: Raszageth the Storm-Eater,1681326120000
Yevie,twisting-nether,18254,Cutting Edge: Scalecommander Sarkareth,1697055840000
Yevie,twisting-nether,41625,"Cutting Edge: Dimensius, the All-Devouring",1768948320000
Yevie,twisting-nether,41297,Cutting Edge: Chrome King Gallywix,1752698460000
Yevie,twisting-nether,61492,"Cutting Edge: Chimaerus, the Undreamt God",1776110164000
Zren,ravencrest,15135,Cutting Edge: Sylvanas Windrunner,1645566600000
Zren,ravencrest,61492,"Cutting Edge: Chimaerus, the Undreamt God",1776279601000
Lenus,twisting-nether,15135,Cutting Edge: Sylvanas Windrunner,1645566600000
Lenus,twisting-nether,17108,Cutting Edge: Raszageth the Storm-Eater,1681326135000
Lenus,twisting-nether,18254,Cutting Edge: Scalecommander Sarkareth,1697055851000
Lenus,twisting-nether,41625,"Cutting Edge: Dimensius, the All-Devouring",1768948332000
Lenus,twisting-nether,41297,Cutting Edge: Chrome King Gallywix,1752698464000
Lenus,twisting-nether,61492,"Cutting Edge: Chimaerus, the Undreamt God",1776110165000
